dataset,replicate,delta_nrc
DIOR-R,179,0.1619790766589661
DIOR-R,180,0.17895595526468236
DIOR-R,181,0.21099475622009697
DIOR-R,182,0.14486434247295518
DIOR-R,183,0.1639272748886997
DIOR-R,184,0.19105800279579346
DIOR-R,185,0.17461602591299374
DIOR-R,186,0.23522984222293944
DIOR-R,187,0.16323657179740128
DIOR-R,188,0.15278390788032412
DIOR-R,189,0.16664599817516965
DIOR-R,190,0.18952384903856748
DIOR-R,191,0.1746753496590693
DIOR-R,192,0.17936902650027542
DIOR-R,193,0.10043169515086119
DIOR-R,194,0.1615956663061841
DIOR-R,195,0.17622450332106876
DIOR-R,196,0.19178317981180557
DIOR-R,197,0.2121678141380514
DIOR-R,198,0.19835049346365807
DIOR-R,199,0.2323108991172508
DIOR-R,200,0.20393550577312125
DIOR-R,201,0.17033231325144715
DIOR-R,202,0.1767955786817316
DIOR-R,203,0.2334931816532437
DIOR-R,204,0.1416333882246865
DIOR-R,205,0.16397411652884555
DIOR-R,206,0.212653417231779
DIOR-R,207,0.14528281445881752
DIOR-R,208,0.13719158764226982
DIOR-R,209,0.19572622211422386
DIOR-R,210,0.17852125927502197
DIOR-R,211,0.21441435006733456
DIOR-R,212,0.1558753190192195
DIOR-R,213,0.22546147699082084
DIOR-R,214,0.1855856604286171
DIOR-R,215,0.2534640420688381
DIOR-R,216,0.1635662327254478
DIOR-R,217,0.17383094107386435
DIOR-R,218,0.12886445816064154
DIOR-R,219,0.2228118674372339
DIOR-R,220,0.1875444143833799
DIOR-R,221,0.18143173019494818
DIOR-R,222,0.16759828726882806
DIOR-R,223,0.20782807835785544
DIOR-R,224,0.19643309509233683
DIOR-R,225,0.17648822917622495
DIOR-R,226,0.16163982073826963
DIOR-R,227,0.1473467348670218
DIOR-R,228,0.1928579018934459
DIOR-R,229,0.1296178348220733
DIOR-R,230,0.1723507245683155
DIOR-R,231,0.1701051355688917
DIOR-R,232,0.19099666228824477
DIOR-R,233,0.15765379506224889
DIOR-R,234,0.1742267391306146
DIOR-R,235,0.1528256331771464
DIOR-R,236,0.13822225312871358
DIOR-R,237,0.198367790580272
DIOR-R,238,0.2222363579524139
DIOR-R,239,0.12971336700434974
DIOR-R,240,0.15365328950611992
DIOR-R,241,0.16001786572904522
DIOR-R,242,0.18291904589857055
DIOR-R,243,0.17026582681469127
DIOR-R,244,0.1862662071578264
DIOR-R,245,0.17100631765005603
DIOR-R,246,0.23055923008114076
DIOR-R,247,0.15332927164660468
DIOR-R,248,0.14812650821486406
DIOR-R,249,0.19439613814976267
DIOR-R,250,0.13882640846082067
DIOR-R,251,0.15678472206110267
DIOR-R,252,0.17997060498214132
DIOR-R,253,0.13114052673904544
DIOR-R,254,0.17839800284952867
DIOR-R,255,0.16841909175190214
DIOR-R,256,0.11476941255591505
DIOR-R,257,0.14899793278845003
DIOR-R,258,0.17717855350131337
DIOR-R,259,0.18290876793331878
DIOR-R,260,0.1806907898827195
DIOR-R,261,0.16859777358887099
DIOR-R,262,0.15568038383583996
DIOR-R,263,0.1756366073020108
DIOR-R,264,0.17013479124566444
DIOR-R,265,0.26243082181748906
DIOR-R,266,0.16833581232073755
DIOR-R,267,0.21514304505889045
DIOR-R,268,0.15732138482754038
DIOR-R,269,0.20583067678455277
DIOR-R,270,0.20952662528252872
DIOR-R,271,0.13440524602518358
DIOR-R,272,0.20400767760632155
DIOR-R,273,0.18751434455443539
DIOR-R,274,0.16150809055996715
DIOR-R,275,0.1994867447658887
DIOR-R,276,0.16224407701297414
DIOR-R,277,0.1437738938876452
DIOR-R,278,0.18064411694391658
DIOR-R,279,0.18366857576687493
DIOR-R,280,0.22769643041992568
DIOR-R,281,0.17931034428916917
DIOR-R,282,0.2100215099299472
DIOR-R,283,0.13511739937790546
DIOR-R,284,0.1846764345995889
DIOR-R,285,0.1636700067168142
DIOR-R,286,0.1649000948196718
DIOR-R,287,0.1752259464081013
DIOR-R,288,0.17941912850063169
DIOR-R,289,0.13688851726442244
DIOR-R,290,0.17352818390464786
DIOR-R,291,0.16190005689736955
DIOR-R,292,0.2008681362901572
DIOR-R,293,0.17426514520184808
DIOR-R,294,0.18798498653075676
DIOR-R,295,0.20476011008453968
DIOR-R,296,0.16769981550665247
DIOR-R,297,0.2056970685229269
DIOR-R,298,0.16473620812829035
DIOR-R,299,0.19971490702790315
DIOR-R,300,0.173109672004688
DIOR-R,301,0.14155512258452918
DIOR-R,302,0.19599543605310207
DIOR-R,303,0.14342030955665971
DIOR-R,304,0.10224488257620086
DIOR-R,305,0.15369446012042795
DIOR-R,306,0.18133004633485172
DIOR-R,307,0.18065625109644934
DIOR-R,308,0.16279787361767747
DIOR-R,309,0.1680253658467028
DIOR-R,310,0.17033731440115205
DIOR-R,311,0.19738721109308388
DIOR-R,312,0.1326234039474257
DIOR-R,313,0.19141795797899422
DIOR-R,314,0.11489810506343058
DIOR-R,315,0.1412964425457413
DIOR-R,316,0.16903095460985837
DIOR-R,317,0.1609136792767116
DIOR-R,318,0.14829094710369614
DIOR-R,319,0.1367766114041418
DIOR-R,320,0.16529287597543182
DIOR-R,321,0.23344433494919417
DIOR-R,322,0.2050522974537917
DIOR-R,323,0.15540351683546763
DIOR-R,324,0.16748832133741995
DIOR-R,325,0.15476721361300896
DIOR-R,326,0.17648381610119412
DIOR-R,327,0.16918091749992717
DIOR-R,328,0.19226353283902456
DIOR-R,329,0.21771886679395816
DIOR-R,330,0.15676546446520315
DIOR-R,331,0.21815004865091345
DIOR-R,332,0.1598153009921734
DIOR-R,333,0.18398235174420283
DIOR-R,334,0.15496485904781113
DIOR-R,335,0.17217097862640274
DIOR-R,336,0.16907355384509595
DIOR-R,337,0.15066613954112748
DIOR-R,338,0.16782152314542467
DIOR-R,339,0.1759050823732489
DIOR-R,340,0.13468669666449318
DIOR-R,341,0.1430281532838891
DIOR-R,342,0.1473901285774088
DIOR-R,343,0.14623834247762163
DIOR-R,344,0.16018162705276137
DIOR-R,345,0.18458056598821804
DIOR-R,346,0.17693692590107504
DIOR-R,347,0.14228062385768603
DIOR-R,348,0.15099202144871746
DIOR-R,349,0.14322042437326665
DIOR-R,350,0.1542873213900462
DIOR-R,351,0.2229769904954777
DIOR-R,352,0.1989234817217123
DIOR-R,353,0.17662457946474416
DIOR-R,354,0.17356709858797506
DIOR-R,355,0.15743308177194051
DIOR-R,356,0.17907795865921486
DIOR-R,357,0.16237380462225517
DIOR-R,358,0.16342901557777592
DIOR-R,359,0.19840156565662123
DIOR-R,360,0.18691117054717132
DIOR-R,361,0.17121535154520903
DIOR-R,362,0.16309897508950116
DIOR-R,363,0.19684619551266422
DIOR-R,364,0.22442786384827795
DIOR-R,365,0.18670235448587177
DIOR-R,366,0.21632805532362878
DIOR-R,367,0.199427520209009
DIOR-R,368,0.1551748237186729
DIOR-R,369,0.1744250283047756
DIOR-R,370,0.2143822487961388
DIOR-R,371,0.17431778580400895
DIOR-R,372,0.19616192038251876
DIOR-R,373,0.18292047489733168
DIOR-R,374,0.20271072916737976
DIOR-R,375,0.19889476258960245
DIOR-R,376,0.1797047088118547
DIOR-R,377,0.17625052326392376
DIOR-R,378,0.14930854212747108
DIOR-R,379,0.1750299586272256
DIOR-R,380,0.20492353477424863
DIOR-R,381,0.20013657595438525
DIOR-R,382,0.1334427765748086
DIOR-R,383,0.2059060245287819
DIOR-R,384,0.139333506871096
DIOR-R,385,0.12778421612967786
DIOR-R,386,0.17259935497300907
DIOR-R,387,0.19903158399394918
DIOR-R,388,0.16511071671126112
DIOR-R,389,0.16937296043400632
DIOR-R,390,0.16130941477672264
DIOR-R,391,0.18547781509115127
DIOR-R,392,0.22428641844424438
DIOR-R,393,0.1707459537346813
DIOR-R,394,0.194789354666514
DIOR-R,395,0.2082584019763546
DIOR-R,396,0.2119286783037353
DIOR-R,397,0.20100984790827225
DIOR-R,398,0.12266101992057614
DIOR-R,399,0.17331894479508225
DIOR-R,400,0.11424872371172808
DIOR-R,401,0.24784051811926733
DIOR-R,402,0.1686191348573769
DIOR-R,403,0.14798094969569525
DIOR-R,404,0.18066245144842216
DIOR-R,405,0.1622640112990069
DIOR-R,406,0.1991994135435514
DIOR-R,407,0.17379441616422395
DIOR-R,408,0.22423431573263733
DIOR-R,409,0.1342248528812315
DIOR-R,410,0.1750217611419136
DIOR-R,411,0.14971514212648598
DIOR-R,412,0.13322413080797607
DIOR-R,413,0.1656151834804883
DIOR-R,414,0.1995777440008287
DIOR-R,415,0.16987374013876133
DIOR-R,416,0.16699706710618267
DIOR-R,417,0.2000512402260135
DIOR-R,418,0.15391273366107772
DIOR-R,419,0.14547961879717283
DIOR-R,420,0.21089646236999263
DIOR-R,421,0.12422455587111908
DIOR-R,422,0.18617773465989115
DIOR-R,423,0.22475537276640334
DIOR-R,424,0.2150713212089843
DIOR-R,425,0.17223915397860123
DIOR-R,426,0.15593679712552988
DIOR-R,427,0.1585144726447492
DIOR-R,428,0.20617876206053087
DIOR-R,429,0.17527919010274365
DIOR-R,430,0.22962223230224446
DIOR-R,431,0.222056597402974
DIOR-R,432,0.13605751917707753
DIOR-R,433,0.19135058963907095
DIOR-R,434,0.15228997507299277
DIOR-R,435,0.15825242590787447
DIOR-R,436,0.17105319819884457
DIOR-R,437,0.14523720203573698
DIOR-R,438,0.1761779383976941
DIOR-R,439,0.21589428447838097
DIOR-R,440,0.165812012413406
DIOR-R,441,0.20068068888034163
DIOR-R,442,0.21420936905452467
DIOR-R,443,0.18133577306231366
DIOR-R,444,0.17340295163147243
DIOR-R,445,0.18150576840374835
DIOR-R,446,0.20069871697465635
DIOR-R,447,0.17794495825581316
DIOR-R,448,0.18432036370322882
DIOR-R,449,0.19804136894166122
DIOR-R,450,0.17338947901030613
DIOR-R,451,0.18934814598677088
DIOR-R,452,0.17806711688740803
DIOR-R,453,0.17303873179983253
DIOR-R,454,0.15670194729629244
DIOR-R,455,0.18906919623345533
DIOR-R,456,0.16601008346624493
DIOR-R,457,0.2142757023983617
DIOR-R,458,0.1857940793469485
DIOR-R,459,0.18579046353144246
DIOR-R,460,0.1868656535388066
DIOR-R,461,0.1454695207957327
DIOR-R,462,0.20030459481030685
DIOR-R,463,0.21317579752358226
DIOR-R,464,0.16128878235346353
DIOR-R,465,0.1169149052289456
DIOR-R,466,0.16677255564723126
DIOR-R,467,0.13723007546719956
DIOR-R,468,0.18978052877753124
DIOR-R,469,0.19795477757303556
DIOR-R,470,0.15347374520666957
DIOR-R,471,0.1873483838003418
DIOR-R,472,0.1891308618067263
DIOR-R,473,0.1674063214751845
DIOR-R,474,0.18587443971445217
DIOR-R,475,0.16656315937953034
DIOR-R,476,0.20614970559576898
DIOR-R,477,0.1641870421868284
DIOR-R,478,0.1347379081195441
DIOR-R,479,0.22243519575559145
DIOR-R,480,0.2138128899534638
DIOR-R,481,0.1721786874993474
DIOR-R,482,0.18462258394320083
DIOR-R,483,0.13973819289190118
DIOR-R,484,0.16618277225481207
DIOR-R,485,0.1983104356749371
DIOR-R,486,0.14848288487626374
DIOR-R,487,0.1818053443601766
DIOR-R,488,0.1527987963267812
DIOR-R,489,0.18296998271273623
DIOR-R,490,0.20754680437767056
DIOR-R,491,0.16219117130337518
DIOR-R,492,0.1977312828591622
DIOR-R,493,0.20094656794406873
DIOR-R,494,0.19477413354002757
DIOR-R,495,0.17231198601439188
DIOR-R,496,0.1834032076079164
DIOR-R,497,0.2156837659902379
DIOR-R,498,0.1968130575040982
DIOR-R,499,0.1907857042576829
DIOR-R,500,0.20939026820342457
DIOR-R,501,0.17158200466101778
DIOR-R,502,0.15996007387572475
DIOR-R,503,0.15966222118552936
DIOR-R,504,0.2099238115262528
DIOR-R,505,0.17508699143727754
DIOR-R,506,0.1431744932527794
DIOR-R,507,0.14989443602872585
DIOR-R,508,0.1849086615020341
DIOR-R,509,0.16008621715964463
DIOR-R,510,0.18013671619778107
DIOR-R,511,0.167641933977802
DIOR-R,512,0.16181647553829023
DIOR-R,513,0.16296610228296743
DIOR-R,514,0.16883353303827775
DIOR-R,515,0.13641078960264705
DIOR-R,516,0.1986539972092142
DIOR-R,517,0.2133742944820628
DIOR-R,518,0.15455394197087272
DIOR-R,519,0.13784743848270906
DIOR-R,520,0.20336778013873028
DIOR-R,521,0.12860203596327402
DIOR-R,522,0.17152949317655267
DIOR-R,523,0.17317433654169026
DIOR-R,524,0.1594484115995872
DIOR-R,525,0.20074815413810473
DIOR-R,526,0.16139883059165033
DIOR-R,527,0.17595916882117665
DIOR-R,528,0.13419943102040746
DIOR-R,529,0.2435817332504302
DIOR-R,530,0.1729735954643721
DIOR-R,531,0.1744176608959822
DIOR-R,532,0.15916457398423306
DIOR-R,533,0.17007644393917018
DIOR-R,534,0.1695671945320918
DIOR-R,535,0.1571783967926165
DIOR-R,536,0.18127299044461176
DIOR-R,537,0.19681966657747849
DIOR-R,538,0.1931173054037696
DIOR-R,539,0.22263333431011353
DIOR-R,540,0.2129090857685886
DIOR-R,541,0.13886676165656092
DIOR-R,542,0.17232230518567285
DIOR-R,543,0.1959234807551017
DIOR-R,544,0.21425161746768642
DIOR-R,545,0.204185677586329
DIOR-R,546,0.1631476821710219
DIOR-R,547,0.15385266019642305
DIOR-R,548,0.16263431681695964
DIOR-R,549,0.19785098485858654
DIOR-R,550,0.18612046942270077
DIOR-R,551,0.1944793408048421
DIOR-R,552,0.20372669232228993
DIOR-R,553,0.16432969069267253
DIOR-R,554,0.15350734569140856
DIOR-R,555,0.16275616380829722
DIOR-R,556,0.14588198300098126
DIOR-R,557,0.18000314113192672
DIOR-R,558,0.1821844559133953
DIOR-R,559,0.1937082144668186
DIOR-R,560,0.16890299680764
DIOR-R,561,0.17565122262678803
DIOR-R,562,0.20903331801261463
DIOR-R,563,0.179552132500973
DIOR-R,564,0.15288678726551932
DIOR-R,565,0.15737651154658447
DIOR-R,566,0.16272778531814547
DIOR-R,567,0.2102275073311907
DIOR-R,568,0.15926809644828865
DIOR-R,569,0.18960981270109367
DIOR-R,570,0.17831425192111372
DIOR-R,571,0.20546604666932733
DIOR-R,572,0.14449516490836986
DIOR-R,573,0.17182024544014596
DIOR-R,574,0.1736010221711742
DIOR-R,575,0.21291509203474066
DIOR-R,576,0.189390685652032
DIOR-R,577,0.21052818187021471
DIOR-R,578,0.18760665138852417
DIOR-R,579,0.1271939269176469
DIOR-R,580,0.17901462759528367
DIOR-R,581,0.14489788621868727
DIOR-R,582,0.18075389815379697
DIOR-R,583,0.21663276887922234
DIOR-R,584,0.15192317852348644
DIOR-R,585,0.17634502644847327
DIOR-R,586,0.14503112998542841
DIOR-R,587,0.15856328458702007
DIOR-R,588,0.14937301148356547
DIOR-R,589,0.19958002388887053
DIOR-R,590,0.1724505291319539
DIOR-R,591,0.12940561810137668
DIOR-R,592,0.18704206259499193
DIOR-R,593,0.1309551761432678
DIOR-R,594,0.1962016764723403
DIOR-R,595,0.23369570381053384
DIOR-R,596,0.18020291179357895
DIOR-R,597,0.19927367065876544
DIOR-R,598,0.15570515465107718
DIOR-R,599,0.17543931275954114
DIOR-R,600,0.17557295098263168
DIOR-R,601,0.15581195797828004
DIOR-R,602,0.18233948812840994
DIOR-R,603,0.1823210193345998
DIOR-R,604,0.17122259241407675
DIOR-R,605,0.1730732387405082
DIOR-R,606,0.15581433251551843
DIOR-R,607,0.2014009766701018
DIOR-R,608,0.17473040669747886
DIOR-R,609,0.1607676709843624
DIOR-R,610,0.16968321876845294
DIOR-R,611,0.20427286133813286
DIOR-R,612,0.16634945416783065
DIOR-R,613,0.1434185108634548
DIOR-R,614,0.15473695578477253
DIOR-R,615,0.15694418248261807
DIOR-R,616,0.1820868373152147
DIOR-R,617,0.1501897589783868
DIOR-R,618,0.1406778910490776
DIOR-R,619,0.1846731463908958
DIOR-R,620,0.13086697511236364
DIOR-R,621,0.16415735332117642
DIOR-R,622,0.17876280141705922
DIOR-R,623,0.15599599744001671
DIOR-R,624,0.1721333620676668
DIOR-R,625,0.21480786693260656
DIOR-R,626,0.17168523356849144
DIOR-R,627,0.16520829377350624
DIOR-R,628,0.19546705752814297
DIOR-R,629,0.16775716154867937
DIOR-R,630,0.17882117676162043
DIOR-R,631,0.19064526111094662
DIOR-R,632,0.1826599830588916
DIOR-R,633,0.11529993291350249
DIOR-R,634,0.1464252497703223
DIOR-R,635,0.17290887367337496
DIOR-R,636,0.15159030011397004
DIOR-R,637,0.17111362471024674
DIOR-R,638,0.18488837592832516
DIOR-R,639,0.2166509479983986
DIOR-R,640,0.15084549562329577
DIOR-R,641,0.20244066675915473
DIOR-R,642,0.1903131402537582
DIOR-R,643,0.19934282634282666
DIOR-R,644,0.19739191821966107
DIOR-R,645,0.21882165215033064
DIOR-R,646,0.1769926440857977
DIOR-R,647,0.18411370328715723
DIOR-R,648,0.13392512681370605
DIOR-R,649,0.18688914963698755
DIOR-R,650,0.23045380195722975
DIOR-R,651,0.20959704816320954
DIOR-R,652,0.17660120484956723
DIOR-R,653,0.19108563991008132
DIOR-R,654,0.2260559893398647
DIOR-R,655,0.18323383446014221
DIOR-R,656,0.21171260730055189
DIOR-R,657,0.18949996994573268
DIOR-R,658,0.1443301019319631
DIOR-R,659,0.13332806861488816
DIOR-R,660,0.12472200451064393
DIOR-R,661,0.17500606289504694
DIOR-R,662,0.1688771019711827
DIOR-R,663,0.19411811354224454
DIOR-R,664,0.1856173859185969
DIOR-R,665,0.21558878985781652
DIOR-R,666,0.20451738305001418
DIOR-R,667,0.13203105594103187
DIOR-R,668,0.16853557617025902
DIOR-R,669,0.20550249588654732
DIOR-R,670,0.20049054377376674
DIOR-R,671,0.14940861754272355
DIOR-R,672,0.20202933173647852
DIOR-R,673,0.19621727915787904
DIOR-R,674,0.13430211249085058
DIOR-R,675,0.18358970906128924
DIOR-R,676,0.1590773794002601
DIOR-R,677,0.19245388255479381
DIOR-R,678,0.163189134953633
DIOR-R,679,0.1372383853459163
DIOR-R,680,0.2058912213770242
DIOR-R,681,0.177604421629196
DIOR-R,682,0.1910808812944018
DIOR-R,683,0.19421029613796462
DIOR-R,684,0.17890206886121804
DIOR-R,685,0.1261652939340682
DIOR-R,686,0.14307066460390316
DIOR-R,687,0.1816264433065987
DIOR-R,688,0.2243850632167361
DIOR-R,689,0.1950903499254598
DIOR-R,690,0.18729082142137723
DIOR-R,691,0.2023337736175431
DIOR-R,692,0.18832305573273866
DIOR-R,693,0.20843224788003475
DIOR-R,694,0.188057659160092
DIOR-R,695,0.22205911990620353
DIOR-R,696,0.21859888487967125
DIOR-R,697,0.14226722432344158
DIOR-R,698,0.220448019390956
DIOR-R,699,0.1352100139974949
DIOR-R,700,0.14639610155014635
DIOR-R,701,0.17387088606413004
DIOR-R,702,0.14888564808194382
DIOR-R,703,0.1604499180625049
DIOR-R,704,0.17124847087958464
DIOR-R,705,0.21133509110442103
DIOR-R,706,0.1629032887434464
DIOR-R,707,0.15645978215464895
DIOR-R,708,0.17104305838254097
DIOR-R,709,0.16329153485448608
DIOR-R,710,0.1396588728949247
DIOR-R,711,0.20797547557967644
DIOR-R,712,0.18826174799532502
DIOR-R,713,0.19769356031210275
DIOR-R,714,0.17843749489671454
DIOR-R,715,0.15161383924654973
DIOR-R,716,0.14320644458805942
DIOR-R,717,0.17158771043983947
DIOR-R,718,0.1878739617854417
DIOR-R,719,0.20185816936085899
DIOR-R,720,0.1615069367110374
DIOR-R,721,0.17548525980827676
DIOR-R,722,0.21559466378334013
DIOR-R,723,0.18191263481470896
DIOR-R,724,0.15163087127285985
DIOR-R,725,0.1693768805676721
DIOR-R,726,0.16701287876962956
DIOR-R,727,0.17590587740916433
DIOR-R,728,0.20097688599765898
DIOR-R,729,0.1062304444626182
DIOR-R,730,0.16654761169159235
DIOR-R,731,0.15429009022399234
DIOR-R,732,0.1909318124576981
DIOR-R,733,0.15390291680219942
DIOR-R,734,0.1772752751252473
DIOR-R,735,0.17860817428382839
DIOR-R,736,0.1949127663354228
DIOR-R,737,0.16478645424520416
DIOR-R,738,0.18913959285795803
DIOR-R,739,0.1630168129814936
DIOR-R,740,0.1830627419253444
DIOR-R,741,0.16111891769888176
DIOR-R,742,0.16773631292475144
DIOR-R,743,0.21765066081048898
DIOR-R,744,0.19739929325616723
DIOR-R,745,0.157022501404277
DIOR-R,746,0.17899447788480816
DIOR-R,747,0.17647742934027474
DIOR-R,748,0.1727842584653826
DIOR-R,749,0.1981868210961153
DIOR-R,750,0.11826936435424845
DIOR-R,751,0.2064041550468354
DIOR-R,752,0.16069972925180767
DIOR-R,753,0.20457182321374837
DIOR-R,754,0.21437213337066607
DIOR-R,755,0.13501694898204292
DIOR-R,756,0.21820463159075124
DIOR-R,757,0.1899366088816623
DIOR-R,758,0.2049941556884456
DIOR-R,759,0.18729219133665778
DIOR-R,760,0.17488677966604316
DIOR-R,761,0.14801060311969147
DIOR-R,762,0.15459057521142608
DIOR-R,763,0.13209542314928477
DIOR-R,764,0.16428175350304017
DIOR-R,765,0.2051661673854049
DIOR-R,766,0.21007442019206055
DIOR-R,767,0.18163226486315018
DIOR-R,768,0.17620634989205838
DIOR-R,769,0.1883534666090049
DIOR-R,770,0.17275086347599702
DIOR-R,771,0.14442227248506323
DIOR-R,772,0.1834428197611895
DIOR-R,773,0.18398663818448688
DIOR-R,774,0.18237854376126839
DIOR-R,775,0.1977496754791479
DIOR-R,776,0.19558836037139038
