dataset,seed,endpoint,cluster_unit,metric,phase_estimate,phase_ci_lo,phase_ci_hi,negative_estimate,negative_ci_lo,negative_ci_hi,paired_delta_phase_minus_negative,delta_ci_lo,delta_ci_hi,replicates,resample_id_scheme
DIOR-R,0,geometry_normalized_severe_event,image,risk90,0.007110967920099415,0.005996115027674345,0.00830074912809904,0.00911308510148663,0.007846135656105951,0.01057971825878516,-0.0020021171813872146,-0.002735619021783701,-0.001336565874782287,400,fixed_seed_074_0_geometry_normalized_severe_event_image
DIOR-R,0,geometry_normalized_severe_event,mother_scene,nrc,0.9519933838431957,0.834161069540896,1.0487382179684528,1.5086363347507479,1.341527568432578,1.6763521584394647,-0.5566429509075522,-0.8263301559535073,-0.31402903991263104,400,fixed_seed_074_0_geometry_normalized_severe_event_mother_scene
DIOR-R,0,geometry_normalized_severe_event,mother_scene,aurc,0.00863818782333691,0.007272406357629372,0.010109195345120182,0.013664861201448896,0.011655646937853094,0.015878479001787967,-0.005026673378111987,-0.007733613604185205,-0.002846132347981937,400,fixed_seed_074_0_geometry_normalized_severe_event_mother_scene
DIOR-R,0,geometry_normalized_severe_event,mother_scene,risk70,0.007899875732291851,0.006798757875946417,0.009250779257199053,0.008550801822593053,0.007316702117487883,0.010009652491582413,-0.0006509260903012019,-0.0018567957023888052,0.0005047138038297351,400,fixed_seed_074_0_geometry_normalized_severe_event_mother_scene
DIOR-R,0,geometry_normalized_severe_event,mother_scene,risk90,0.007110967920099415,0.006119866704284933,0.008244296866511654,0.00911308510148663,0.007918726014513178,0.010461868526315634,-0.0020021171813872146,-0.0027150135424842143,-0.001400478327404769,400,fixed_seed_074_0_geometry_normalized_severe_event_mother_scene
DIOR-R,1,continuous_angle_error,image,nrc,1.193130756389884,1.1565222982948775,1.231425171182623,1.1666797814175225,1.1164631715202964,1.2161083064981715,0.026450974972361596,-0.050819103280994836,0.10657813161729048,400,fixed_seed_074_1_continuous_angle_error_image
DIOR-R,1,continuous_angle_error,image,aurc,1.9628145954269902,1.9071208154851578,2.0203195731462316,1.9292268210615267,1.8312505672257682,2.036773596390071,0.03358777436546356,-0.06584757414101386,0.13439481804721526,400,fixed_seed_074_1_continuous_angle_error_image
DIOR-R,1,continuous_angle_error,image,risk70,1.6635909976967709,1.5955329552730193,1.7325807482928364,1.425266900045598,1.3460942646840568,1.5093230949561922,0.2383240976511729,0.17834206532174277,0.29894987893215386,400,fixed_seed_074_1_continuous_angle_error_image
DIOR-R,1,continuous_angle_error,image,risk90,1.561812157154873,1.4981302801431748,1.626455536783104,1.6635494621835736,1.5964219901171366,1.7339027353194858,-0.10173730502870049,-0.12549394918101053,-0.08224326718078834,400,fixed_seed_074_1_continuous_angle_error_image
DIOR-R,1,continuous_angle_error,mother_scene,nrc,1.193130756389884,1.1534366379279577,1.230030110370765,1.1666797814175225,1.120437898056492,1.21269305380146,0.026450974972361596,-0.05400020373882118,0.0998758595940291,400,fixed_seed_074_1_continuous_angle_error_mother_scene
DIOR-R,1,continuous_angle_error,mother_scene,aurc,1.9628145954269902,1.906642462483485,2.0118066941357076,1.9292268210615267,1.8335712674574802,2.031356246163196,0.03358777436546356,-0.06971124261322775,0.1258946479942819,400,fixed_seed_074_1_continuous_angle_error_mother_scene
DIOR-R,1,continuous_angle_error,mother_scene,risk70,1.6635909976967709,1.6082249863474836,1.7151910601730516,1.425266900045598,1.3516977778217056,1.4989516645282606,0.2383240976511729,0.17072750487752072,0.2952043276405335,400,fixed_seed_074_1_continuous_angle_error_mother_scene
DIOR-R,1,continuous_angle_error,mother_scene,risk90,1.561812157154873,1.505433664920328,1.6170157127777345,1.6635494621835736,1.598794272670913,1.7294477362572265,-0.10173730502870049,-0.12218654858516322,-0.08291847823846875,400,fixed_seed_074_1_continuous_angle_error_mother_scene
DIOR-R,1,geometry_normalized_severe_event,image,nrc,0.9534014081259071,0.8442970332507641,1.054380751560485,1.5098416834216177,1.3514068277238838,1.7054251882740186,-0.5564402752957106,-0.8549736704526901,-0.3078576679932691,400,fixed_seed_074_1_geometry_normalized_severe_event_image
DIOR-R,1,geometry_normalized_severe_event,image,aurc,0.008278093956931585,0.006909548913788123,0.009647794290589073,0.01308738824028183,0.011077776436307762,0.01547503538157325,-0.004809294283350245,-0.0075246407888490225,-0.0025985248845949932,400,fixed_seed_074_1_geometry_normalized_severe_event_image
DIOR-R,1,geometry_normalized_severe_event,image,risk70,0.007713531313970392,0.006439780842185935,0.008874884122912407,0.007891535882754324,0.00673738311211343,0.0091639905728863,-0.00017800456878393212,-0.001439696458553976,0.0009556627005098515,400,fixed_seed_074_1_geometry_normalized_severe_event_image
DIOR-R,1,geometry_normalized_severe_event,image,risk90,0.006899416203244341,0.005863753449739756,0.007913372000639102,0.008883863673073818,0.007688458975958349,0.010053044091008276,-0.001984447469829477,-0.002844053771356973,-0.0014438470105155106,400,fixed_seed_074_1_geometry_normalized_severe_event_image
DIOR-R,1,geometry_normalized_severe_event,mother_scene,nrc,0.9534014081259071,0.8442244923588346,1.06786466540434,1.5098416834216177,1.3281328519109297,1.6857603386905642,-0.5564402752957106,-0.829636746000485,-0.28517247494005293,400,fixed_seed_074_1_geometry_normalized_severe_event_mother_scene
DIOR-R,1,geometry_normalized_severe_event,mother_scene,aurc,0.008278093956931585,0.006996953967438224,0.009720376232900804,0.01308738824028183,0.010832237521870128,0.01517009075696121,-0.004809294283350245,-0.007164449391609684,-0.0023263993649114576,400,fixed_seed_074_1_geometry_normalized_severe_event_mother_scene
DIOR-R,1,geometry_normalized_severe_event,mother_scene,risk70,0.007713531313970392,0.006585480530647866,0.008852245494428621,0.007891535882754324,0.006688616700657453,0.009082048815963351,-0.00017800456878393212,-0.0012750185243764712,0.001091312209454023,400,fixed_seed_074_1_geometry_normalized_severe_event_mother_scene
DIOR-R,1,geometry_normalized_severe_event,mother_scene,risk90,0.006899416203244341,0.005917576098385007,0.007884658140200312,0.008883863673073818,0.007746155549571987,0.010044980144174674,-0.001984447469829477,-0.0026803270051455833,-0.0012911162742593875,400,fixed_seed_074_1_geometry_normalized_severe_event_mother_scene
DIOR-R,2,continuous_angle_error,image,nrc,1.2031614940895976,1.1697023874858217,1.2387594644495146,1.1779774508903447,1.1320544644710646,1.2334891587396706,0.025184043199252937,-0.057127502373573155,0.09577097651763503,400,fixed_seed_074_2_continuous_angle_error_image
DIOR-R,2,continuous_angle_error,image,aurc,1.9531277510110203,1.8947371910307702,2.00877950281296,1.9214088186849183,1.834254639507445,2.0222950979169734,0.03171893232610201,-0.07155783575200692,0.11972492804410287,400,fixed_seed_074_2_continuous_angle_error_image
DIOR-R,2,continuous_angle_error,image,risk70,1.6426295997933362,1.5813911637737532,1.7126181607561748,1.4163796472650028,1.340858133009395,1.4910541667529453,0.22624995252833346,0.16923748135743333,0.28300566099334207,400,fixed_seed_074_2_continuous_angle_error_image
DIOR-R,2,continuous_angle_error,image,risk90,1.5442108240306753,1.4821246312913663,1.6059026352268957,1.64300200117634,1.5762758327959088,1.7092676369679292,-0.09879117714566465,-0.11918191436358898,-0.08075547842456797,400,fixed_seed_074_2_continuous_angle_error_image
DIOR-R,2,continuous_angle_error,mother_scene,nrc,1.2031614940895976,1.1652989268011542,1.2409796625067302,1.1779774508903447,1.1217992425938503,1.2325744061050414,0.025184043199252937,-0.05601289429067565,0.10892754870557185,400,fixed_seed_074_2_continuous_angle_error_mother_scene
DIOR-R,2,continuous_angle_error,mother_scene,aurc,1.9531277510110203,1.9000786391834026,2.0124049087836156,1.9214088186849183,1.7976223212518863,2.0307847101878287,0.03171893232610201,-0.0699639402944292,0.13273032700979048,400,fixed_seed_074_2_continuous_angle_error_mother_scene
DIOR-R,2,continuous_angle_error,mother_scene,risk70,1.6426295997933362,1.5748773712613995,1.7095873880136903,1.4163796472650028,1.3310247705111544,1.5023462369093004,0.22624995252833346,0.1609185951588851,0.28878910392647045,400,fixed_seed_074_2_continuous_angle_error_mother_scene
DIOR-R,2,continuous_angle_error,mother_scene,risk90,1.5442108240306753,1.4722771778617816,1.6149762512429273,1.64300200117634,1.5718214387859168,1.7142097976981754,-0.09879117714566465,-0.1198620178005497,-0.07833516705948566,400,fixed_seed_074_2_continuous_angle_error_mother_scene
DIOR-R,2,geometry_normalized_severe_event,image,nrc,0.9295135059675917,0.8204130899198472,1.038730965190758,1.5586751575780209,1.368552946114061,1.7555615888292666,-0.6291616516104291,-0.9426321843962701,-0.3511888873208326,400,fixed_seed_074_2_geometry_normalized_severe_event_image
DIOR-R,2,geometry_normalized_severe_event,image,aurc,0.00798723083911695,0.006618516107517219,0.009288988182600245,0.013368458346390798,0.01079908216380638,0.01616033923690592,-0.0053812275072738485,-0.00820260763052176,-0.0029717258287044433,400,fixed_seed_074_2_geometry_normalized_severe_event_image
DIOR-R,2,geometry_normalized_severe_event,image,risk70,0.007232415448913655,0.006025038189714874,0.008304181861923327,0.008121646856566973,0.006894951819181362,0.009339821533335504,-0.0008892314076533181,-0.0020452450836885225,0.00021303944485932407,400,fixed_seed_074_2_geometry_normalized_severe_event_image
DIOR-R,2,geometry_normalized_severe_event,image,risk90,0.006847104389524161,0.005783434521471517,0.0077125754050866736,0.008760604942825526,0.007517425089880232,0.009955795666648967,-0.001913500553301365,-0.002721147637177851,-0.0012463365424635333,400,fixed_seed_074_2_geometry_normalized_severe_event_image
DIOR-R,2,geometry_normalized_severe_event,mother_scene,nrc,0.9295135059675917,0.8257728634456485,1.0368502704728886,1.5586751575780209,1.3738473499095858,1.7313404840452853,-0.6291616516104291,-0.8897025537667608,-0.3720090389572557,400,fixed_seed_074_2_geometry_normalized_severe_event_mother_scene
DIOR-R,2,geometry_normalized_severe_event,mother_scene,aurc,0.00798723083911695,0.006756255665914007,0.009166432428532646,0.013368458346390798,0.010954068282609137,0.016250075686740046,-0.0053812275072738485,-0.008099237047815249,-0.002998984980991222,400,fixed_seed_074_2_geometry_normalized_severe_event_mother_scene
DIOR-R,2,geometry_normalized_severe_event,mother_scene,risk70,0.007232415448913655,0.006180382166067116,0.008292172597344436,0.008121646856566973,0.006707002607660357,0.009536424437776024,-0.0008892314076533181,-0.0020089476268197373,0.0002396486156055779,400,fixed_seed_074_2_geometry_normalized_severe_event_mother_scene
DIOR-R,2,geometry_normalized_severe_event,mother_scene,risk90,0.006847104389524161,0.00583181918435291,0.007748267511446073,0.008760604942825526,0.007508971413619732,0.009990970535581933,-0.001913500553301365,-0.002689635749052806,-0.0012036662361547318,400,fixed_seed_074_2_geometry_normalized_severe_event_mother_scene
SODA-A,0,continuous_angle_error,image,nrc,1.1267119458467856,1.104184018172046,1.1486497872683106,1.093332152135804,1.0723028211799797,1.1153727903230357,0.03337979371098165,-0.0059281498206785795,0.07023944919684029,400,fixed_seed_074_0_continuous_angle_error_image
SODA-A,0,continuous_angle_error,image,aurc,2.218313314094855,2.16941178368385,2.26426990584167,2.1731883764225843,2.110743942126326,2.238636991238959,0.04512493767227088,-0.008059794147865396,0.09455333020097678,400,fixed_seed_074_0_continuous_angle_error_image
SODA-A,0,continuous_angle_error,image,risk70,1.9942690021096732,1.9408770188560842,2.0400060747861826,1.873693938835244,1.8143928576633797,1.9329487003657744,0.12057506327442913,0.0886409580025526,0.14950298441605886,400,fixed_seed_074_0_continuous_angle_error_image
SODA-A,0,continuous_angle_error,image,risk90,1.9788036423622133,1.9227481554334211,2.0266398260428087,2.001918033018078,1.9445250371205889,2.050388985967186,-0.023114390655864625,-0.03726138602836936,-0.008632620215704434,400,fixed_seed_074_0_continuous_angle_error_image
SODA-A,0,continuous_angle_error,mother_scene,nrc,1.1267119458467856,1.0667019047215969,1.1991804057292013,1.093332152135804,1.042357362946241,1.1441838534005404,0.03337979371098165,-0.06320410573078021,0.14237017306440275,400,fixed_seed_074_0_continuous_angle_error_mother_scene
SODA-A,0,continuous_angle_error,mother_scene,aurc,2.218313314094855,2.0906547430460556,2.3489403142659864,2.1731883764225843,1.9987335059408549,2.3472328517738164,0.04512493767227088,-0.08466065503280601,0.1909731429704754,400,fixed_seed_074_0_continuous_angle_error_mother_scene
SODA-A,0,continuous_angle_error,mother_scene,risk70,1.9942690021096732,1.8383421381821223,2.1424986147306857,1.873693938835244,1.689013595470598,2.0473822934193575,0.12057506327442913,0.04085611239268629,0.21063504731564708,400,fixed_seed_074_0_continuous_angle_error_mother_scene
SODA-A,0,continuous_angle_error,mother_scene,risk90,1.9788036423622133,1.8136517614303167,2.130387776300926,2.001918033018078,1.825241974912757,2.159130335685392,-0.023114390655864625,-0.05725817464686298,0.0161045609253008,400,fixed_seed_074_0_continuous_angle_error_mother_scene
SODA-A,0,geometry_normalized_severe_event,image,nrc,1.0019599160247605,0.8963194343371521,1.0940541401565718,1.7129898847369538,1.5694322546744541,1.8440845409204205,-0.7110299687121933,-0.9130534867681946,-0.4903133531134576,400,fixed_seed_074_0_geometry_normalized_severe_event_image
SODA-A,0,geometry_normalized_severe_event,image,aurc,0.004069172709788313,0.00335537078770717,0.004833409706630102,0.006950949265022295,0.005890350857290533,0.008208362623592142,-0.002881776555233982,-0.0038001505113628765,-0.0019606005328078073,400,fixed_seed_074_0_geometry_normalized_severe_event_image
SODA-A,0,geometry_normalized_severe_event,image,risk70,0.003145072965692804,0.0026490815312013704,0.0036633201231875425,0.00390729064914306,0.0033517988087900783,0.004571920074571169,-0.0007622176834502564,-0.0011599395011758743,-0.0004134906039086731,400,fixed_seed_074_0_geometry_normalized_severe_event_image
SODA-A,0,geometry_normalized_severe_event,image,risk90,0.0031080746628602343,0.002634511510486064,0.0036357182495051978,0.0038678262471149583,0.003363962425390097,0.004485718639358226,-0.0007597515842547239,-0.0009910492262729573,-0.0005198834986420627,400,fixed_seed_074_0_geometry_normalized_severe_event_image
SODA-A,0,geometry_normalized_severe_event,mother_scene,nrc,1.0019599160247605,0.8685243554607943,1.156105474228983,1.7129898847369538,1.479623962591443,1.930243403850411,-0.7110299687121933,-1.0062070562958538,-0.38885178553526484,400,fixed_seed_074_0_geometry_normalized_severe_event_mother_scene
SODA-A,0,geometry_normalized_severe_event,mother_scene,aurc,0.004069172709788313,0.002794178181066881,0.0056875018849461365,0.006950949265022295,0.005060383887909546,0.00955841006943021,-0.002881776555233982,-0.004547656146657946,-0.0014473342598458243,400,fixed_seed_074_0_geometry_normalized_severe_event_mother_scene
SODA-A,0,geometry_normalized_severe_event,mother_scene,risk70,0.003145072965692804,0.002202864460417775,0.004326761766771885,0.00390729064914306,0.0027473081031441225,0.005448821190990845,-0.0007622176834502564,-0.0015161417581002075,-0.0001651993414042336,400,fixed_seed_074_0_geometry_normalized_severe_event_mother_scene
SODA-A,0,geometry_normalized_severe_event,mother_scene,risk90,0.0031080746628602343,0.0022002662614805154,0.004276336452235526,0.0038678262471149583,0.0027536401770339187,0.00540503154313991,-0.0007597515842547239,-0.0012684798341279708,-0.00036962601041717126,400,fixed_seed_074_0_geometry_normalized_severe_event_mother_scene
SODA-A,1,continuous_angle_error,image,nrc,1.1280989247985307,1.1081249673314266,1.1481442883163375,1.119871316982886,1.1000966729069521,1.1401566366567604,0.008227607815644689,-0.027280196002874506,0.04272184417838552,400,fixed_seed_074_1_continuous_angle_error_image
SODA-A,1,continuous_angle_error,image,aurc,2.2767855754504875,2.235731726109548,2.327206498182388,2.2653773584216395,2.2150876186322317,2.3321377598610877,0.011408217028848089,-0.03764608739630663,0.05850473003765243,400,fixed_seed_074_1_continuous_angle_error_image
SODA-A,1,continuous_angle_error,image,risk70,2.0300132419687644,1.9882442743493927,2.079634791127116,1.9359815783881378,1.8860260818635297,1.994547088319876,0.09403166358062665,0.06525246124576797,0.11963519375562848,400,fixed_seed_074_1_continuous_angle_error_image
SODA-A,1,continuous_angle_error,image,risk90,2.01996243425241,1.977533914060429,2.0730266170177245,2.042448145957044,1.9977798156654512,2.0961146716840777,-0.02248571170463398,-0.034606300727675524,-0.010826569194047881,400,fixed_seed_074_1_continuous_angle_error_image
SODA-A,1,continuous_angle_error,mother_scene,nrc,1.1280989247985307,1.0696499170733054,1.1812124613782937,1.119871316982886,1.077502957413824,1.1673591392183778,0.008227607815644689,-0.07709931064882954,0.09320116134739989,400,fixed_seed_074_1_continuous_angle_error_mother_scene
SODA-A,1,continuous_angle_error,mother_scene,aurc,2.2767855754504875,2.1297306202459576,2.419172980253719,2.2653773584216395,2.0731517554930536,2.459509353454062,0.011408217028848089,-0.11195992026652121,0.12553627889384836,400,fixed_seed_074_1_continuous_angle_error_mother_scene
SODA-A,1,continuous_angle_error,mother_scene,risk70,2.0300132419687644,1.8743579069972807,2.165471256225721,1.9359815783881378,1.7478623156032245,2.114905695652609,0.09403166358062665,0.009023508674277682,0.1655472085376877,400,fixed_seed_074_1_continuous_angle_error_mother_scene
SODA-A,1,continuous_angle_error,mother_scene,risk90,2.01996243425241,1.848675985911057,2.1672843784086004,2.042448145957044,1.865612688900463,2.2042035490990872,-0.02248571170463398,-0.05530191190942903,0.011366552820726447,400,fixed_seed_074_1_continuous_angle_error_mother_scene
SODA-A,1,geometry_normalized_severe_event,image,nrc,1.1683314339218551,1.0535137849791791,1.2869211059820393,1.5760114552779352,1.4503014790689568,1.7147337569460215,-0.40768002135608006,-0.635313185388442,-0.20098269980672487,400,fixed_seed_074_1_geometry_normalized_severe_event_image
SODA-A,1,geometry_normalized_severe_event,image,aurc,0.005151916414450855,0.004365273854667915,0.005975818670110814,0.0069462332568210015,0.006111599556946536,0.007971802990017323,-0.0017943168423701465,-0.0028277479473717243,-0.0009255370862356622,400,fixed_seed_074_1_geometry_normalized_severe_event_image
SODA-A,1,geometry_normalized_severe_event,image,risk70,0.0034544589600029275,0.002983930452018033,0.003972936147227083,0.003864310023054122,0.00335243599846319,0.004407269694079051,-0.0004098510630511946,-0.0008788088081721956,1.4558509751543433e-05,400,fixed_seed_074_1_geometry_normalized_severe_event_image
SODA-A,1,geometry_normalized_severe_event,image,risk90,0.0034780529734222106,0.0030437698356598373,0.003972307678793966,0.004013138046256397,0.0035600092717801538,0.004514831095923185,-0.000535085072834186,-0.0007939152831802236,-0.0002998326238528016,400,fixed_seed_074_1_geometry_normalized_severe_event_image
SODA-A,1,geometry_normalized_severe_event,mother_scene,nrc,1.1683314339218551,1.0247210283970412,1.3349618577251028,1.5760114552779352,1.3619998159024573,1.812927622814146,-0.40768002135608006,-0.7220398827381366,-0.09015691366545873,400,fixed_seed_074_1_geometry_normalized_severe_event_mother_scene
SODA-A,1,geometry_normalized_severe_event,mother_scene,aurc,0.005151916414450855,0.0038700194950827328,0.006899987806697568,0.0069462332568210015,0.005206116167002894,0.00939624623845885,-0.0017943168423701465,-0.0033829709730412846,-0.00033107127633032467,400,fixed_seed_074_1_geometry_normalized_severe_event_mother_scene
SODA-A,1,geometry_normalized_severe_event,mother_scene,risk70,0.0034544589600029275,0.0025867786419800387,0.004626083025368082,0.003864310023054122,0.0027644965511250787,0.005278773436720974,-0.0004098510630511946,-0.0010388226632665938,0.00025671490341849416,400,fixed_seed_074_1_geometry_normalized_severe_event_mother_scene
SODA-A,1,geometry_normalized_severe_event,mother_scene,risk90,0.0034780529734222106,0.0025057073360136386,0.004683450540322467,0.004013138046256397,0.0029796137028942483,0.0053063383725904705,-0.000535085072834186,-0.0009727706231583655,-0.0001737946093520838,400,fixed_seed_074_1_geometry_normalized_severe_event_mother_scene
SODA-A,2,continuous_angle_error,image,nrc,1.1220171253304365,1.1037832056017194,1.142170559657331,1.124539942803101,1.1049972744178136,1.1466445230559248,-0.0025228174726645847,-0.03714595985981263,0.030425972320734386,400,fixed_seed_074_2_continuous_angle_error_image
SODA-A,2,continuous_angle_error,image,aurc,2.2676200110895164,2.2185406258253004,2.314173420328049,2.271117849222831,2.2108342661978817,2.3266210703400145,-0.0034978381333146125,-0.051050790004724414,0.04215999965258074,400,fixed_seed_074_2_continuous_angle_error_image
SODA-A,2,continuous_angle_error,image,risk70,2.0003737378908366,1.9440182016634429,2.0450031241840554,1.9368465276175908,1.8763397404517062,1.9878434431552447,0.06352721027324582,0.03864708582031356,0.08695293394225767,400,fixed_seed_074_2_continuous_angle_error_image
SODA-A,2,continuous_angle_error,image,risk90,2.0269077540901144,1.9743966032829383,2.0716789752873153,2.0374964365713657,1.9784969268631252,2.0851797140086052,-0.010588682481251332,-0.02352071877160669,0.0019497460174213892,400,fixed_seed_074_2_continuous_angle_error_image
SODA-A,2,continuous_angle_error,mother_scene,nrc,1.1220171253304365,1.0744096795394544,1.1725901435097736,1.124539942803101,1.0857318523694348,1.167999288330158,-0.0025228174726645847,-0.06745765396650755,0.06393070861186444,400,fixed_seed_074_2_continuous_angle_error_mother_scene
SODA-A,2,continuous_angle_error,mother_scene,aurc,2.2676200110895164,2.1254789710494375,2.4196659221271823,2.271117849222831,2.123468828987571,2.4576578839243752,-0.0034978381333146125,-0.09561567357148305,0.08686543700478579,400,fixed_seed_074_2_continuous_angle_error_mother_scene
SODA-A,2,continuous_angle_error,mother_scene,risk70,2.0003737378908366,1.8352134386826462,2.179195960703822,1.9368465276175908,1.766191391169617,2.1281944575155785,0.06352721027324582,0.006304770184737229,0.11690028305189237,400,fixed_seed_074_2_continuous_angle_error_mother_scene
SODA-A,2,continuous_angle_error,mother_scene,risk90,2.0269077540901144,1.8671417579499001,2.192841527252029,2.0374964365713657,1.8783683337217334,2.224273295733121,-0.010588682481251332,-0.03881716172006028,0.016407097436197567,400,fixed_seed_074_2_continuous_angle_error_mother_scene
SODA-A,2,geometry_normalized_severe_event,image,nrc,1.372137137563918,1.2429509300887989,1.5218636928631717,1.3923117557462397,1.2654015984013456,1.5212713962364575,-0.02017461818232169,-0.2588983689275718,0.21315452627928919,400,fixed_seed_074_2_geometry_normalized_severe_event_image
SODA-A,2,geometry_normalized_severe_event,image,aurc,0.0057194083424162625,0.004859076582377883,0.006610499139437627,0.005803372954197911,0.004987742532190186,0.006589831183270055,-8.396461178164852e-05,-0.001101658667856643,0.0008577687304690255,400,fixed_seed_074_2_geometry_normalized_severe_event_image
SODA-A,2,geometry_normalized_severe_event,image,risk70,0.0035573467576493867,0.0030502805590873904,0.004078857568926857,0.0034118520027353015,0.002952638728566649,0.003870483167321803,0.00014549475491408516,-0.00030837033145525547,0.0006182671502106483,400,fixed_seed_074_2_geometry_normalized_severe_event_image
SODA-A,2,geometry_normalized_severe_event,image,risk90,0.0035363279901774953,0.003083314828375634,0.004025574238138659,0.0035759348636674832,0.0031021254963587786,0.004074363267043751,-3.9606873489987995e-05,-0.00027545150278154406,0.0002165155851723934,400,fixed_seed_074_2_geometry_normalized_severe_event_image
SODA-A,2,geometry_normalized_severe_event,mother_scene,nrc,1.372137137563918,1.1773457582624403,1.5746996751652598,1.3923117557462397,1.1933758727035104,1.5814959780067464,-0.02017461818232169,-0.3386488383014709,0.33149754753900845,400,fixed_seed_074_2_geometry_normalized_severe_event_mother_scene
SODA-A,2,geometry_normalized_severe_event,mother_scene,aurc,0.0057194083424162625,0.004312412907136439,0.00722443262442392,0.005803372954197911,0.004275928999063573,0.007425538028058648,-8.396461178164852e-05,-0.001460060386596119,0.0013094054167721177,400,fixed_seed_074_2_geometry_normalized_severe_event_mother_scene
SODA-A,2,geometry_normalized_severe_event,mother_scene,risk70,0.0035573467576493867,0.0026506560405473154,0.004497306874730328,0.0034118520027353015,0.002549205534313991,0.004349327299702346,0.00014549475491408516,-0.0004405699555306562,0.0008205621923331158,400,fixed_seed_074_2_geometry_normalized_severe_event_mother_scene
SODA-A,2,geometry_normalized_severe_event,mother_scene,risk90,0.0035363279901774953,0.002617859390719438,0.004430797388991453,0.0035759348636674832,0.002659992565552104,0.004551510743036092,-3.9606873489987995e-05,-0.0003995669108283634,0.00031706777271698803,400,fixed_seed_074_2_geometry_normalized_severe_event_mother_scene
FAIR1M-v1.0,0,continuous_angle_error,image,nrc,1.1245328636007912,1.1038614883050306,1.1461443520058305,1.0362037414265086,1.015714369032806,1.0559972510104463,0.08832912217428257,0.05088338643788035,0.1270119386775409,400,fixed_seed_074_0_continuous_angle_error_image
FAIR1M-v1.0,0,continuous_angle_error,image,aurc,2.4553995000602025,2.4007094516440164,2.509713394103762,2.324048543635345,2.2673661189520518,2.3846489595391427,0.1313509564248574,0.07676079551247088,0.1883232374502689,400,fixed_seed_074_0_continuous_angle_error_image
FAIR1M-v1.0,0,continuous_angle_error,image,risk70,2.238203696892801,2.187132978786589,2.286700664509358,2.1458172064437204,2.0940789468781618,2.198665642655378,0.09238649044908076,0.0620072216477706,0.1200634627723389,400,fixed_seed_074_0_continuous_angle_error_image
