run_id,dataset,head,seed,lr_sweep,selected_lr_record,aggregate_record_lr,actual_final_lr,pilot_epochs,final_epochs,best_epoch,final_epoch,checkpoint_used,checkpoint_exists,AP50,AP75,angle_error,amp_fp32,aggregate_record_amp,fallback,early_stop,failed_candidates,final_model_health,native_uncertainty,can_recompute,schedule_discrepancy
K2_final__CSL__SODA-A__seed2,SODA-A,CSL,2,0.0025;0.005;0.01,0.005,0.0025,0.005,3,12,10,12,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__SODA-A__seed2/epoch_12.pth,True,0.3658,0.0711,19.703,amp,prev,recorded in health-gate attempts,none for completed final,see health gate,COMPLETE_NONEMPTY,softmax_margin,True,True
K2_final__DCL__DIOR-R__seed0,DIOR-R,DCL,0,0.0025;0.005;0.01,0.0025,0.0025,0.0025,3,12,12,12,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__DCL__DIOR-R__seed0/epoch_12.pth,True,0.4229,0.2257,2.731,amp,prev,recorded in health-gate attempts,none for completed final,see health gate,COMPLETE_NONEMPTY,softmax_margin,True,True
K2_final__DCL__DIOR-R__seed1,DIOR-R,DCL,1,0.0025;0.005;0.01,0.0025,0.0025,0.0025,3,12,12,12,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__DCL__DIOR-R__seed1/epoch_12.pth,True,0.434,0.2168,2.712,amp,prev,recorded in health-gate attempts,none for completed final,see health gate,COMPLETE_NONEMPTY,softmax_margin,True,True
K2_final__DCL__DIOR-R__seed2,DIOR-R,DCL,2,0.0025;0.005;0.01,0.0025,0.0025,0.0025,3,12,12,12,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__DCL__DIOR-R__seed2/epoch_12.pth,True,0.4326,0.22,2.737,amp,amp,recorded in health-gate attempts,none for completed final,see health gate,COMPLETE_NONEMPTY,softmax_margin,True,False
K2_final__DCL__SODA-A__seed0,SODA-A,DCL,0,0.0025;0.005;0.01,0.0025,0.0025,0.0025,3,12,10,12,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__DCL__SODA-A__seed0/epoch_12.pth,True,0.5414,0.1993,3.028,amp,prev,recorded in health-gate attempts,none for completed final,see health gate,COMPLETE_NONEMPTY,softmax_margin,True,True
K2_final__DCL__SODA-A__seed1,SODA-A,DCL,1,0.0025;0.005;0.01,0.0025,0.0025,0.0025,3,12,12,12,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__DCL__SODA-A__seed1/epoch_12.pth,True,0.552,0.204,3.047,amp,amp,recorded in health-gate attempts,none for completed final,see health gate,COMPLETE_NONEMPTY,softmax_margin,True,False
K2_final__DCL__SODA-A__seed2,SODA-A,DCL,2,0.0025;0.005;0.01,0.0025,0.0025,0.0025,3,12,12,12,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__DCL__SODA-A__seed2/epoch_12.pth,True,0.5474,0.2036,3.016,amp,prev,recorded in health-gate attempts,none for completed final,see health gate,COMPLETE_NONEMPTY,softmax_margin,True,True
K2_final__direct_regression_le90__DIOR-R__seed0,DIOR-R,direct_regression_le90,0,0.0025;0.005;0.01,,0.0025,0.0025,3,12,7,12,,False,,,,amp+fp32_exhausted,amp+fp32_exhausted,recorded in health-gate attempts,none for completed final,see health gate,MISSING_EVAL,,False,False
K2_final__direct_regression_le90__DIOR-R__seed1,DIOR-R,direct_regression_le90,1,0.0025;0.005;0.01,,0.0025,0.0025,3,12,12,12,,False,,,,amp+fp32_exhausted,amp+fp32_exhausted,recorded in health-gate attempts,none for completed final,see health gate,MISSING_EVAL,,False,False
K2_final__direct_regression_le90__DIOR-R__seed2,DIOR-R,direct_regression_le90,2,0.0025;0.005;0.01,,0.0025,0.0025,3,12,12,12,,False,,,,amp+fp32_exhausted,amp+fp32_exhausted,recorded in health-gate attempts,none for completed final,see health gate,MISSING_EVAL,,False,False
K2_final__direct_regression_le90__SODA-A__seed0,SODA-A,direct_regression_le90,0,0.0025;0.005;0.01,0.0025,0.0025,0.0025,3,12,2,12,,False,0.0,,,amp+fp32_exhausted,prev,recorded in health-gate attempts,none for completed final,see health gate,MISSING_EVAL,,False,True
K2_final__direct_regression_le90__SODA-A__seed1,SODA-A,direct_regression_le90,1,0.0025;0.005;0.01,0.0025,0.0025,0.0025,3,12,12,12,,False,,,,amp+fp32_exhausted,amp+fp32_exhausted,recorded in health-gate attempts,none for completed final,see health gate,MISSING_EVAL,,False,False
K2_final__direct_regression_le90__SODA-A__seed2,SODA-A,direct_regression_le90,2,0.0025;0.005;0.01,0.0025,0.0025,0.0025,3,12,12,12,,False,,,,amp+fp32_exhausted,amp+fp32_exhausted,recorded in health-gate attempts,none for completed final,see health gate,MISSING_EVAL,,False,False
M4_070_final__PSC__FAIR1M__seed0,FAIR1M-v1.0,PSC,0,0.0025;0.005;0.010,0.005,0.005,0.005,3,12,12,12,outputs/persistent_artifacts/m4_third_dataset_070/checkpoints/M4_070_final__PSC__FAIR1M__seed0.pth,True,0.3500738308546278,0.25011846890972256,2.2702113046198,amp,amp,"[{""mode"":""amp"",""returncode"":0,""status"":""complete""}]",preregistered NaN/Inf/empty/abnormal-loss/protocol gate only,DCL lr0.01 gate only,COMPLETE_NONEMPTY,phase_mod,True,False
M4_070_final__PSC__FAIR1M__seed1,FAIR1M-v1.0,PSC,1,0.0025;0.005;0.010,0.005,0.005,0.005,3,12,12,12,outputs/persistent_artifacts/m4_third_dataset_070/checkpoints/M4_070_final__PSC__FAIR1M__seed1.pth,True,0.3536850124665611,0.2568252543698562,2.2756099342159217,amp,amp,"[{""mode"":""amp"",""returncode"":0,""status"":""complete""}]",preregistered NaN/Inf/empty/abnormal-loss/protocol gate only,DCL lr0.01 gate only,COMPLETE_NONEMPTY,phase_mod,True,False
M4_070_final__PSC__FAIR1M__seed2,FAIR1M-v1.0,PSC,2,0.0025;0.005;0.010,0.005,0.005,0.005,3,12,12,12,outputs/persistent_artifacts/m4_third_dataset_070/checkpoints/M4_070_final__PSC__FAIR1M__seed2.pth,True,0.34175841872588414,0.24394305035556207,2.289871172806203,amp,amp,"[{""mode"":""amp"",""returncode"":0,""status"":""complete""}]",preregistered NaN/Inf/empty/abnormal-loss/protocol gate only,DCL lr0.01 gate only,COMPLETE_NONEMPTY,phase_mod,True,False
M4_070_final__CSL__FAIR1M__seed0,FAIR1M-v1.0,CSL,0,0.0025;0.005;0.010,0.0025,0.0025,0.0025,3,12,11,12,outputs/persistent_artifacts/m4_third_dataset_070/checkpoints/M4_070_final__CSL__FAIR1M__seed0.pth,True,0.25135373931730653,0.03892971014540312,14.95485166590276,amp,amp,"[{""mode"":""amp"",""returncode"":0,""status"":""complete""}]",preregistered NaN/Inf/empty/abnormal-loss/protocol gate only,DCL lr0.01 gate only,COMPLETE_NONEMPTY,softmax_margin,True,False
M4_070_final__CSL__FAIR1M__seed1,FAIR1M-v1.0,CSL,1,0.0025;0.005;0.010,0.0025,0.0025,0.0025,3,12,11,12,outputs/persistent_artifacts/m4_third_dataset_070/checkpoints/M4_070_final__CSL__FAIR1M__seed1.pth,True,0.26073215067051614,0.056070714769502206,15.179425194570964,amp,amp,"[{""mode"":""amp"",""returncode"":0,""status"":""complete""}]",preregistered NaN/Inf/empty/abnormal-loss/protocol gate only,DCL lr0.01 gate only,COMPLETE_NONEMPTY,softmax_margin,True,False
M4_070_final__CSL__FAIR1M__seed2,FAIR1M-v1.0,CSL,2,0.0025;0.005;0.010,0.0025,0.0025,0.0025,3,12,12,12,outputs/persistent_artifacts/m4_third_dataset_070/checkpoints/M4_070_final__CSL__FAIR1M__seed2.pth,True,0.26380097723303486,0.047878454395372576,13.423859375600644,amp,amp,"[{""mode"":""amp"",""returncode"":0,""status"":""complete""}]",preregistered NaN/Inf/empty/abnormal-loss/protocol gate only,DCL lr0.01 gate only,COMPLETE_NONEMPTY,softmax_margin,True,False
M4_070_final__DCL__FAIR1M__seed0,FAIR1M-v1.0,DCL,0,0.0025;0.005;0.010,0.0025,0.0025,0.0025,3,12,12,12,outputs/persistent_artifacts/m4_third_dataset_070/checkpoints/M4_070_final__DCL__FAIR1M__seed0.pth,True,0.2423449482611125,0.14509202525239226,3.504439896902629,amp,amp,"[{""mode"":""amp"",""returncode"":0,""status"":""complete""}]",preregistered NaN/Inf/empty/abnormal-loss/protocol gate only,DCL lr0.01 gate only,COMPLETE_NONEMPTY,bit_margin,True,False
M4_070_final__DCL__FAIR1M__seed1,FAIR1M-v1.0,DCL,1,0.0025;0.005;0.010,0.0025,0.0025,0.0025,3,12,12,12,outputs/persistent_artifacts/m4_third_dataset_070/checkpoints/M4_070_final__DCL__FAIR1M__seed1.pth,True,0.25390946265681896,0.15021549992645924,3.4804592952514426,amp,amp,"[{""mode"":""amp"",""returncode"":0,""status"":""complete""}]",preregistered NaN/Inf/empty/abnormal-loss/protocol gate only,DCL lr0.01 gate only,COMPLETE_NONEMPTY,bit_margin,True,False
M4_070_final__DCL__FAIR1M__seed2,FAIR1M-v1.0,DCL,2,0.0025;0.005;0.010,0.0025,0.0025,0.0025,3,12,12,12,outputs/persistent_artifacts/m4_third_dataset_070/checkpoints/M4_070_final__DCL__FAIR1M__seed2.pth,True,0.24897661678465716,0.15147994870523318,3.416707959273845,amp,amp,"[{""mode"":""amp"",""returncode"":0,""status"":""complete""}]",preregistered NaN/Inf/empty/abnormal-loss/protocol gate only,DCL lr0.01 gate only,COMPLETE_NONEMPTY,bit_margin,True,False
K2_final__direct_regression_le90__DIOR-R__seed0,DIOR-R,direct_regression_le90,0,0.0025;0.005;0.010,none,,none,3,0,none,none,none,False,,,,AMP/FP32 audited,,failed_training after amp+fp32 budget,failed by training-health gate,True,FAILED_TRAINING,unavailable,False,False
K2_final__direct_regression_le90__DIOR-R__seed1,DIOR-R,direct_regression_le90,0,0.0025;0.005;0.010,none,,none,3,0,none,none,none,False,,,,AMP/FP32 audited,,failed_training after amp+fp32 budget,failed by training-health gate,True,FAILED_TRAINING,unavailable,False,False
K2_final__direct_regression_le90__DIOR-R__seed2,DIOR-R,direct_regression_le90,0,0.0025;0.005;0.010,none,,none,3,0,none,none,none,False,,,,AMP/FP32 audited,,failed_training after amp+fp32 budget,failed by training-health gate,True,FAILED_TRAINING,unavailable,False,False
K2_final__direct_regression_le90__SODA-A__seed1,SODA-A,direct_regression_le90,0,0.0025;0.005;0.010,none,,none,3,0,none,none,none,False,,,,AMP/FP32 audited,,failed_training after amp+fp32 budget,failed by training-health gate,True,FAILED_TRAINING,unavailable,False,False
K2_final__direct_regression_le90__SODA-A__seed2,SODA-A,direct_regression_le90,0,0.0025;0.005;0.010,none,,none,3,0,none,none,none,False,,,,AMP/FP32 audited,,failed_training after amp+fp32 budget,failed by training-health gate,True,FAILED_TRAINING,unavailable,False,False
K2_final__KLD__DIOR-R__seed0,DIOR-R,KLD,0,0.0025;0.005;0.010,none,,none,3,0,none,none,none,False,,,,AMP/FP32 audited,,all LR pilots failed (method-level under equal budget),failed by training-health gate,True,FAILED_TRAINING,unavailable,False,False
K2_final__KLD__DIOR-R__seed1,DIOR-R,KLD,0,0.0025;0.005;0.010,none,,none,3,0,none,none,none,False,,,,AMP/FP32 audited,,all LR pilots failed (method-level under equal budget),failed by training-health gate,True,FAILED_TRAINING,unavailable,False,False
K2_final__KLD__DIOR-R__seed2,DIOR-R,KLD,0,0.0025;0.005;0.010,none,,none,3,0,none,none,none,False,,,,AMP/FP32 audited,,all LR pilots failed (method-level under equal budget),failed by training-health gate,True,FAILED_TRAINING,unavailable,False,False
K2_final__KLD__SODA-A__seed0,SODA-A,KLD,0,0.0025;0.005;0.010,none,,none,3,0,none,none,none,False,,,,AMP/FP32 audited,,all LR pilots failed (method-level under equal budget),failed by training-health gate,True,FAILED_TRAINING,unavailable,False,False
K2_final__KLD__SODA-A__seed1,SODA-A,KLD,0,0.0025;0.005;0.010,none,,none,3,0,none,none,none,False,,,,AMP/FP32 audited,,all LR pilots failed (method-level under equal budget),failed by training-health gate,True,FAILED_TRAINING,unavailable,False,False
K2_final__KLD__SODA-A__seed2,SODA-A,KLD,0,0.0025;0.005;0.010,none,,none,3,0,none,none,none,False,,,,AMP/FP32 audited,,all LR pilots failed (method-level under equal budget),failed by training-health gate,True,FAILED_TRAINING,unavailable,False,False
