dataset,split,detector,head,checkpoint,checkpoint_sha256,seed,epoch,best_epoch,final_epoch,lr,lr_tuning_budget,amp_fp32,prediction_artifact,prediction_identity_hash,matched_table_artifact,matched_artifact_sha256,gt_artifact,gt_sha256,fullval_subset,ar_mask,continuous_risk_definition,severe_event_definition,coverage_grid,score_direction,original_scene_id_availability,image_count,mother_scene_count_masked,matched_count_before_mask,retained_ar21,can_recompute
DIOR-R,full-validation,rotated_retinanet,CSL,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__DIOR-R__seed1/epoch_12.pth,6a65a07eda54edf2476a08038ed027b4b399cc07dae26e3c35d98258a1d04da6,1,12,not separately persisted; evaluated epoch 12,12,0.0025,3 candidates x 3 pilot epochs; AP50 selection,amp,outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/DIOR-R/seed1/matched_native.jsonl,matched-artifact-sha256:18cd78ecba1739310b119c95b09d174ea2100e5520dfac4e07f2dc584cf3ce2a,outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/DIOR-R/seed1/matched_native.jsonl,18cd78ecba1739310b119c95b09d174ea2100e5520dfac4e07f2dc584cf3ce2a,outputs/persistent_artifacts/k1_table1_fullval_065/gt/DIOR-R_test_fullval_gt.jsonl,894f5dac4a05619fb73d197a7475a7f34a517bb13b1c6fa718d31a7090a5c1a5,full-val matched endpoint,matched GT ar>=2.1,le90 circular angle error degrees,angle_error>delta_theta_0.75(GT aspect_ratio),exact sorted prefix; AURC implementation frozen; Risk@70/90,larger native signal means more reliable,True,11738,available from image IDs; not recomputed for non-PSC G0 units,48576,recorded in native evaluation,True
DIOR-R,full-validation,rotated_retinanet,CSL,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__DIOR-R__seed2/epoch_12.pth,b46af2b46b7370a5c439fbf9e19cf481db4b91a89794347518a7905c02bb305a,2,12,not separately persisted; evaluated epoch 12,12,0.0025,3 candidates x 3 pilot epochs; AP50 selection,amp,outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/DIOR-R/seed2/matched_native.jsonl,matched-artifact-sha256:004c93664bf4b9a4516197c19c8d15dfc3fe9c882dc3125b93eea89be4c79170,outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/DIOR-R/seed2/matched_native.jsonl,004c93664bf4b9a4516197c19c8d15dfc3fe9c882dc3125b93eea89be4c79170,outputs/persistent_artifacts/k1_table1_fullval_065/gt/DIOR-R_test_fullval_gt.jsonl,894f5dac4a05619fb73d197a7475a7f34a517bb13b1c6fa718d31a7090a5c1a5,full-val matched endpoint,matched GT ar>=2.1,le90 circular angle error degrees,angle_error>delta_theta_0.75(GT aspect_ratio),exact sorted prefix; AURC implementation frozen; Risk@70/90,larger native signal means more reliable,True,11738,available from image IDs; not recomputed for non-PSC G0 units,50957,recorded in native evaluation,True
SODA-A,full-validation,rotated_retinanet,CSL,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__SODA-A__seed0/epoch_12.pth,bec710beb15aed75daecf59bb39ec97293ff9306862582700751e3c9f69e01ce,0,12,not separately persisted; evaluated epoch 12,12,0.005,3 candidates x 3 pilot epochs; AP50 selection,amp,outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/SODA-A/seed0/matched_native.jsonl,matched-artifact-sha256:134dbc3e85deb24fc94f7707ecadaabfdf16ca2c493527d0878fb44111c59aea,outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/SODA-A/seed0/matched_native.jsonl,134dbc3e85deb24fc94f7707ecadaabfdf16ca2c493527d0878fb44111c59aea,outputs/persistent_artifacts/k1_table1_fullval_065/gt/SODA-A_val_tiled_fullval_gt.jsonl,68805e7d7098054a62977b3b34bc718cd565b9bb1b89db5118350340b3cc0a5b,full-val matched endpoint,matched GT ar>=2.1,le90 circular angle error degrees,angle_error>delta_theta_0.75(GT aspect_ratio),exact sorted prefix; AURC implementation frozen; Risk@70/90,larger native signal means more reliable,True,22994,available from image IDs; not recomputed for non-PSC G0 units,101987,recorded in native evaluation,True
SODA-A,full-validation,rotated_retinanet,CSL,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__SODA-A__seed1/epoch_12.pth,6adf267308842a2555d75ff563984496a59e0f58cf85f475fc30bbaf42cf3a40,1,12,not separately persisted; evaluated epoch 12,12,0.005,3 candidates x 3 pilot epochs; AP50 selection,amp,outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/SODA-A/seed1/matched_native.jsonl,matched-artifact-sha256:f36472cfd63c88a74a30719805b3478fcb989c2b5aaa846065721db4c28a27f9,outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/SODA-A/seed1/matched_native.jsonl,f36472cfd63c88a74a30719805b3478fcb989c2b5aaa846065721db4c28a27f9,outputs/persistent_artifacts/k1_table1_fullval_065/gt/SODA-A_val_tiled_fullval_gt.jsonl,68805e7d7098054a62977b3b34bc718cd565b9bb1b89db5118350340b3cc0a5b,full-val matched endpoint,matched GT ar>=2.1,le90 circular angle error degrees,angle_error>delta_theta_0.75(GT aspect_ratio),exact sorted prefix; AURC implementation frozen; Risk@70/90,larger native signal means more reliable,True,22994,available from image IDs; not recomputed for non-PSC G0 units,115527,recorded in native evaluation,True
SODA-A,full-validation,rotated_retinanet,CSL,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__SODA-A__seed2/epoch_12.pth,0e8be76e9d9f1e31572b613721418fc324d9ee168769266f8458c89c979682aa,2,12,not separately persisted; evaluated epoch 12,12,0.005,3 candidates x 3 pilot epochs; AP50 selection,amp,outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/SODA-A/seed2/matched_native.jsonl,matched-artifact-sha256:06449c9beee768f420f0104824e02db1a33a7210170132bd52fc12a4ea175eff,outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/SODA-A/seed2/matched_native.jsonl,06449c9beee768f420f0104824e02db1a33a7210170132bd52fc12a4ea175eff,outputs/persistent_artifacts/k1_table1_fullval_065/gt/SODA-A_val_tiled_fullval_gt.jsonl,68805e7d7098054a62977b3b34bc718cd565b9bb1b89db5118350340b3cc0a5b,full-val matched endpoint,matched GT ar>=2.1,le90 circular angle error degrees,angle_error>delta_theta_0.75(GT aspect_ratio),exact sorted prefix; AURC implementation frozen; Risk@70/90,larger native signal means more reliable,True,22994,available from image IDs; not recomputed for non-PSC G0 units,113208,recorded in native evaluation,True
DIOR-R,full-validation,rotated_retinanet,DCL,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__DCL__DIOR-R__seed0/epoch_12.pth,f250d71f3168bac1a59d72e27ea90d3b639a94fc1a91a7f3f91f9b8000eea157,0,12,not separately persisted; evaluated epoch 12,12,0.0025,3 candidates x 3 pilot epochs; AP50 selection,amp,outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/DIOR-R/seed0/matched_native.jsonl,matched-artifact-sha256:c38eeee5ea319418fca49bf68683920190d66a7bd7863a3552a25fbb7ac1516f,outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/DIOR-R/seed0/matched_native.jsonl,c38eeee5ea319418fca49bf68683920190d66a7bd7863a3552a25fbb7ac1516f,outputs/persistent_artifacts/k1_table1_fullval_065/gt/DIOR-R_test_fullval_gt.jsonl,894f5dac4a05619fb73d197a7475a7f34a517bb13b1c6fa718d31a7090a5c1a5,full-val matched endpoint,matched GT ar>=2.1,le90 circular angle error degrees,angle_error>delta_theta_0.75(GT aspect_ratio),exact sorted prefix; AURC implementation frozen; Risk@70/90,larger native signal means more reliable,True,11738,available from image IDs; not recomputed for non-PSC G0 units,72153,recorded in native evaluation,True
DIOR-R,full-validation,rotated_retinanet,DCL,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__DCL__DIOR-R__seed1/epoch_12.pth,019fb6317e867b8fef24d5cc7ba718419e9e9fed98bdbf8733df5919a9625af8,1,12,not separately persisted; evaluated epoch 12,12,0.0025,3 candidates x 3 pilot epochs; AP50 selection,amp,outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/DIOR-R/seed1/matched_native.jsonl,matched-artifact-sha256:66b2aad16b183f8dc51873ceb3d46e92d9f84c72930f3c4080f1136eee6c1852,outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/DIOR-R/seed1/matched_native.jsonl,66b2aad16b183f8dc51873ceb3d46e92d9f84c72930f3c4080f1136eee6c1852,outputs/persistent_artifacts/k1_table1_fullval_065/gt/DIOR-R_test_fullval_gt.jsonl,894f5dac4a05619fb73d197a7475a7f34a517bb13b1c6fa718d31a7090a5c1a5,full-val matched endpoint,matched GT ar>=2.1,le90 circular angle error degrees,angle_error>delta_theta_0.75(GT aspect_ratio),exact sorted prefix; AURC implementation frozen; Risk@70/90,larger native signal means more reliable,True,11738,available from image IDs; not recomputed for non-PSC G0 units,74295,recorded in native evaluation,True
DIOR-R,full-validation,rotated_retinanet,DCL,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__DCL__DIOR-R__seed2/epoch_12.pth,9fb766630d2b49a32900e6cf6df714934309ca353780152c08588c4ae36ec681,2,12,not separately persisted; evaluated epoch 12,12,0.0025,3 candidates x 3 pilot epochs; AP50 selection,amp,outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/DIOR-R/seed2/matched_native.jsonl,matched-artifact-sha256:04609eb1b9216db7a88323ef3ddf83012fd2c80647ec53b3e7958a51f345d743,outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/DIOR-R/seed2/matched_native.jsonl,04609eb1b9216db7a88323ef3ddf83012fd2c80647ec53b3e7958a51f345d743,outputs/persistent_artifacts/k1_table1_fullval_065/gt/DIOR-R_test_fullval_gt.jsonl,894f5dac4a05619fb73d197a7475a7f34a517bb13b1c6fa718d31a7090a5c1a5,full-val matched endpoint,matched GT ar>=2.1,le90 circular angle error degrees,angle_error>delta_theta_0.75(GT aspect_ratio),exact sorted prefix; AURC implementation frozen; Risk@70/90,larger native signal means more reliable,True,11738,available from image IDs; not recomputed for non-PSC G0 units,73847,recorded in native evaluation,True
SODA-A,full-validation,rotated_retinanet,DCL,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__DCL__SODA-A__seed0/epoch_12.pth,a958d570f5b3d23ac99f49b643af2b2a81b6030630e00c3eba07b042165b0c9b,0,12,not separately persisted; evaluated epoch 12,12,0.0025,3 candidates x 3 pilot epochs; AP50 selection,amp,outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/SODA-A/seed0/matched_native.jsonl,matched-artifact-sha256:7614e0a664167a6f818d66948095d48985cc00eb4a93a068fe6cd4aaedb800b8,outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/SODA-A/seed0/matched_native.jsonl,7614e0a664167a6f818d66948095d48985cc00eb4a93a068fe6cd4aaedb800b8,outputs/persistent_artifacts/k1_table1_fullval_065/gt/SODA-A_val_tiled_fullval_gt.jsonl,68805e7d7098054a62977b3b34bc718cd565b9bb1b89db5118350340b3cc0a5b,full-val matched endpoint,matched GT ar>=2.1,le90 circular angle error degrees,angle_error>delta_theta_0.75(GT aspect_ratio),exact sorted prefix; AURC implementation frozen; Risk@70/90,larger native signal means more reliable,True,22994,available from image IDs; not recomputed for non-PSC G0 units,281729,recorded in native evaluation,True
SODA-A,full-validation,rotated_retinanet,DCL,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__DCL__SODA-A__seed1/epoch_12.pth,13f2f1646d51088dd493396e2d5264fd211ce3a248cb49da1f114ebea6ebe66a,1,12,not separately persisted; evaluated epoch 12,12,0.0025,3 candidates x 3 pilot epochs; AP50 selection,amp,outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/SODA-A/seed1/matched_native.jsonl,matched-artifact-sha256:541ef4a3a72f5cf7e538d9fec7a17801ac9359e77e3a59a776b14fe5280e6ae7,outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/SODA-A/seed1/matched_native.jsonl,541ef4a3a72f5cf7e538d9fec7a17801ac9359e77e3a59a776b14fe5280e6ae7,outputs/persistent_artifacts/k1_table1_fullval_065/gt/SODA-A_val_tiled_fullval_gt.jsonl,68805e7d7098054a62977b3b34bc718cd565b9bb1b89db5118350340b3cc0a5b,full-val matched endpoint,matched GT ar>=2.1,le90 circular angle error degrees,angle_error>delta_theta_0.75(GT aspect_ratio),exact sorted prefix; AURC implementation frozen; Risk@70/90,larger native signal means more reliable,True,22994,available from image IDs; not recomputed for non-PSC G0 units,280596,recorded in native evaluation,True
SODA-A,full-validation,rotated_retinanet,DCL,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__DCL__SODA-A__seed2/epoch_12.pth,9d762a39ff27569c323daebf5fb10da0edd619798462800e186212ae23eb24f5,2,12,not separately persisted; evaluated epoch 12,12,0.0025,3 candidates x 3 pilot epochs; AP50 selection,amp,outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/SODA-A/seed2/matched_native.jsonl,matched-artifact-sha256:b2dbd6fcdef937e0f70727224130813f9fca3b56d7f4cc5aac22038d72ebdda1,outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/SODA-A/seed2/matched_native.jsonl,b2dbd6fcdef937e0f70727224130813f9fca3b56d7f4cc5aac22038d72ebdda1,outputs/persistent_artifacts/k1_table1_fullval_065/gt/SODA-A_val_tiled_fullval_gt.jsonl,68805e7d7098054a62977b3b34bc718cd565b9bb1b89db5118350340b3cc0a5b,full-val matched endpoint,matched GT ar>=2.1,le90 circular angle error degrees,angle_error>delta_theta_0.75(GT aspect_ratio),exact sorted prefix; AURC implementation frozen; Risk@70/90,larger native signal means more reliable,True,22994,available from image IDs; not recomputed for non-PSC G0 units,280853,recorded in native evaluation,True
FAIR1M-v1.0,train_80->val_20,rotated_retinanet,CSL,outputs/persistent_artifacts/m4_third_dataset_070/checkpoints/M4_070_final__CSL__FAIR1M__seed0.pth,b5884ea5d830607c72d8d33a389f59e7c7eab66cb141e8793a06b6c6a8cea712,0,12,12,12,0.0025,3 candidates x 3 pilot epochs; AP50 selection,amp,outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__CSL__FAIR1M__seed0_matched.npz,matched-npz-sha256:a7eebb7d1fa29009ea7792e436234a014b8300d79f2ed5986534e4f3f7a3f420,outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__CSL__FAIR1M__seed0_matched.npz,a7eebb7d1fa29009ea7792e436234a014b8300d79f2ed5986534e4f3f7a3f420,FAIR1M val_20 evaluator dataset,bound-by-eval:146ff910af86f1c94d7cb03ee7e2b84318b997fa053f0c1a90ee2db5741574ed,full-val matched endpoint,matched GT ar>=2.1,le90 circular angle error degrees,angle_error>delta_theta_0.75(GT aspect_ratio),exact sorted prefix; AURC implementation frozen; Risk@70/90,larger native signal means more reliable,True,4362,available from image IDs; not recomputed for non-PSC G0 units,15430,recorded in native evaluation,True
