assignment_version,annotator_slot,task_id,canonical_anon_id,dataset,task_order,image_sha256,source_070_path
m4-071-final-v1,A,88382c0bc19cbd75ad24,e311483df06e7d2a,SODA-A,11,1373d26f23b2b083d882cbb50ac7ecc58b28c911ef4dcbd7b27a1fcd6bc6adfc,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/88382c0bc19cbd75ad24.jpg
m4-071-final-v1,A,94e404b8117ecc7468c4,4f409942e6e78ef1,FAIR1M-v1.0,12,49ad24aaf0f35e9aa7c920e4103975c30d099f92b1a57f555f2ebfe5d789de0a,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/94e404b8117ecc7468c4.jpg
m4-071-final-v1,A,1540738339ff7347d62c,5194bfa04a6202a4,SODA-A,13,bde5e7ef9f044073c997540f2823582fdaf3f2a107f309b828eac7a89b8db68a,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/1540738339ff7347d62c.jpg
m4-071-final-v1,A,560eee00187c0a3654c3,1de55bc77d620236,SODA-A,14,2af272b1759c0bd3593f235117478c02f2ae426d12b2d2138489ee5f1a5341df,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/560eee00187c0a3654c3.jpg
m4-071-final-v1,A,4464a57070f1a0840bbb,723c03c38b33af82,FAIR1M-v1.0,15,95cb63011a3b4871d3e6375874572ba40d56432bfff0916f9908519b17989837,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/4464a57070f1a0840bbb.jpg
m4-071-final-v1,A,66771d2c9cfc5f384271,0cace1b3fad0745d,FAIR1M-v1.0,16,2be37082b3912764ea2078d00764fe110dc7354b8ed1f55200976455497343d7,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/66771d2c9cfc5f384271.jpg
m4-071-final-v1,A,b128540b9a03de2592f8,a3c5251924922cf5,DIOR-R,17,d1a89cd0f9ac6e8498aac56f03d58012b8c404a3307a5f872e1e8aed2a8e47fe,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/b128540b9a03de2592f8.jpg
m4-071-final-v1,A,52654f448e6ca4ae7572,288f51ddbddbf5a7,DIOR-R,18,347aae210f1c0acb3240443fb8bc04d12f53ae175b2513c92bc42f5c2566d20f,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/52654f448e6ca4ae7572.jpg
m4-071-final-v1,A,79a4314a62b255810aa6,f32d82fc6178eefd,FAIR1M-v1.0,19,5f366bcb2dd488cc4c30bac073ef2dbb393f1efa69d5ffdafb8e2fd64f686392,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/79a4314a62b255810aa6.jpg
m4-071-final-v1,A,ffe7274203df409a6634,eaf48c88ebfb165a,SODA-A,20,fe1dfd4e2c842e1edd4a5913eaf64020aadc20ad51710800dee916052d882320,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/ffe7274203df409a6634.jpg
m4-071-final-v1,A,f33b7655a2949e2e9ffa,5fd9d7cd9c127c6d,DIOR-R,21,3846b13137de2ed4ba247c8c0857546bda80c405289555ecbfb062967220be54,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/f33b7655a2949e2e9ffa.jpg
m4-071-final-v1,A,4cac3e82cd5fa4d9f076,33a321411f60ec65,FAIR1M-v1.0,22,f614b4796b888b8d1b18c53a3545363349faafb905a1a5bd2cdea8a9d8830958,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/4cac3e82cd5fa4d9f076.jpg
m4-071-final-v1,A,ddb07f47ade0aef91ba7,a8bb8cd356785bbc,SODA-A,23,28b7a25ac1952789f06bcb5782898bb503db73279559023357ab06891e34ecb2,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/ddb07f47ade0aef91ba7.jpg
m4-071-final-v1,A,ef3e1e83b4055e5f0e73,07162e17e6c3507f,DIOR-R,24,30bb7171488115a8e4546073f82bf8b64f4bf4db1e5ae961c8c666cbb45b9b2e,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/ef3e1e83b4055e5f0e73.jpg
m4-071-final-v1,A,82f08f4f8f3f1af990b4,3221770800266275,DIOR-R,25,85e16895e916865053c707f7666e0ce1494fce21e5939154f0a8209b9deda8dc,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/82f08f4f8f3f1af990b4.jpg
m4-071-final-v1,A,b746e8431f0adc57dc6e,4a9947d785108f07,FAIR1M-v1.0,26,dd136465c72c63527e8fe545164368aced30d8a721b75d8be0282aadbe5e1122,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/b746e8431f0adc57dc6e.jpg
m4-071-final-v1,A,a6af568f9d049fdeb771,f2c8a4b09c851efe,FAIR1M-v1.0,27,9426ac6a7469d008849706852ed5fc270c74b0d3d6325c8c0515394e8224b01e,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/a6af568f9d049fdeb771.jpg
m4-071-final-v1,A,1fd45b0caf5cbcec84cf,feb5caf3d3e64867,DIOR-R,28,7f6d69a263374646b2c82c41e158cf685b1bbfff580ffac05d501859d7e02cd8,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/1fd45b0caf5cbcec84cf.jpg
m4-071-final-v1,A,f18bfaf0485ae8429f2c,c9233d68e261e3b4,SODA-A,29,d56967f3ca93331ec2e6b7d1eb4e965b7f5e449a6d7ce1d453d71717eb610768,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/f18bfaf0485ae8429f2c.jpg
m4-071-final-v1,A,b77c600e7a9f51f11378,b63fcacbf4d7618a,SODA-A,30,695f50d096f9436689c5fcfcb134524ff0268642df8214e4c8e5465d941573c4,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/b77c600e7a9f51f11378.jpg
m4-071-final-v1,A,bc72719f60bc024a5af5,02228204dc184fe1,SODA-A,31,aad290bf94ec3382715b94817f12783a00e7e73e482eabd8ad902a2490195762,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/bc72719f60bc024a5af5.jpg
m4-071-final-v1,A,d5d73be1e3c488a731c5,7c0ce9f37923b317,DIOR-R,32,94814f5a98b9ab562662487e1ae970c57833955f29ce904756889b08978d9a41,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/d5d73be1e3c488a731c5.jpg
m4-071-final-v1,A,5a1eb98c6aa409abf362,a1313131cfd28701,SODA-A,33,7cdbfd4e5495c91064c34b505a70539ec4989d700e30d5833b8c2ae36f6ff8f0,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/5a1eb98c6aa409abf362.jpg
m4-071-final-v1,A,c0ad33c584df4fa165af,23c974432a46c2ee,DIOR-R,34,b631c687fc1cbef9dc644dd0915d01a7652a43fe7e58bc5ee73fbd5796112165,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/c0ad33c584df4fa165af.jpg
m4-071-final-v1,A,8a2a1e3fac71eb908324,0e32f801ec4375de,FAIR1M-v1.0,35,9fbbeba74c00598a625d7e9941ecea8f2e16ad13a8f7244e203ce5188b378451,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/8a2a1e3fac71eb908324.jpg
m4-071-final-v1,A,3993796a8e09c52ef689,2d21aff7bd0d84b4,FAIR1M-v1.0,36,81f459773b1479f1ce9ad5ddb670e6c007a2e6f741467e431383379e77f9b8de,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/3993796a8e09c52ef689.jpg
m4-071-final-v1,A,d392b3c128331bb8af2c,979ba36f57714608,DIOR-R,37,6aa7df2531e662ae2e625f93c90cce2bd7412d460a205f5d597a635680dd5ae0,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/d392b3c128331bb8af2c.jpg
m4-071-final-v1,A,04e582c6618b30643c09,7292316abfbde484,SODA-A,38,7ffc9e921ca5cdbb4404ff44f5602359a9fee4ad0e18c1e0dd9a7809986a962f,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/04e582c6618b30643c09.jpg
m4-071-final-v1,A,a2518eeeb1e7f84fc44e,08f410996172040d,FAIR1M-v1.0,39,c25ad3b8e961222851879bef0c83ff754ae8596a6234383d9f9efd9d6755f267,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/a2518eeeb1e7f84fc44e.jpg
m4-071-final-v1,A,fe192546e92cf2992213,1f45c229950a0bcd,DIOR-R,40,2c9b9e10d8b0f4057383da42b30bf1486a6575bc2d315995d0edd5627af86e83,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/fe192546e92cf2992213.jpg
m4-071-final-v1,A,d623b5cc9c2036c3259b,6bb98bca1424bb2d,SODA-A,41,fb71753ada36e14be1023c51cb9af620c66c60b2f5b67b667ad8b3c58affa1ec,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/d623b5cc9c2036c3259b.jpg
m4-071-final-v1,A,c3e641c6343b2db7e480,406aab3642c5c227,SODA-A,42,e984148b8f21c312c2145dd45118610f42c4ea110606460af29dd20793175489,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/c3e641c6343b2db7e480.jpg
m4-071-final-v1,A,a4431f87b81b93856f70,bdfcc2cddf032408,FAIR1M-v1.0,43,897d34c922ec9e908f150456e1e466997b61e4d4a9dd103b6918c49093457bf9,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/a4431f87b81b93856f70.jpg
m4-071-final-v1,A,e7333db35c0d4f18d016,885f088889e15db7,DIOR-R,44,d4f26df73722b673bd0208a360be7020a42d9f6a1790ed3281a49b82383be0f9,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/e7333db35c0d4f18d016.jpg
m4-071-final-v1,A,64283f896a174d71c2f6,bf15f8582d5576ab,FAIR1M-v1.0,45,70555e14627ff63a21b6d509c48845a94444d9e6dfb267da482574faa094b40e,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/64283f896a174d71c2f6.jpg
m4-071-final-v1,A,fc8df488b95bf24ce4f6,3f0567f58caaa096,FAIR1M-v1.0,46,f8f2cf74296ed8917d2e785697477df877a478c49cfdc66fe00bc27db67ecc98,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/fc8df488b95bf24ce4f6.jpg
m4-071-final-v1,A,d205743d85e344f051b3,c3bf95ed9c518caa,FAIR1M-v1.0,47,5f5b846482d79ad46558590aae13fb3680f7820e4146510e52b7eba8829f830f,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/d205743d85e344f051b3.jpg
m4-071-final-v1,A,1ca548bc402fbdd77bb4,c5727805654c8db9,SODA-A,48,bd895ecddd211c4905ea1ea37c744890910e300caab9efdd8f143c342c6c8155,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/1ca548bc402fbdd77bb4.jpg
m4-071-final-v1,A,e0941dd0de83b4bcc628,daf1ad6d73b80856,FAIR1M-v1.0,49,df1e76ac65da5a75b005b75b74754dbd17e2aa3eb97589b03dd00a4a81cc34b1,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/e0941dd0de83b4bcc628.jpg
m4-071-final-v1,A,a72e8f36016c404ce645,362e824a6039344c,DIOR-R,50,ab3676facc6698c65af31f4ca4b67d205561a8d95595126741ab0e31d3f0692f,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/a72e8f36016c404ce645.jpg
m4-071-final-v1,A,bd7939ef0b79fa384ea6,31659deca6824bb9,DIOR-R,51,4cd72505c7ae3e7fdc77912ca9d73d6274fbd76d9b760bc6c9a92f9dae91cae8,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/bd7939ef0b79fa384ea6.jpg
m4-071-final-v1,A,9631106f4aedbb501ec9,163d43733201065c,SODA-A,52,3a28e8fb87e1a1caf7a421f45c7df1045b5048e4a241168bddcc759af00f295f,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/9631106f4aedbb501ec9.jpg
m4-071-final-v1,A,2a2f2a0ccc503bfa6623,cc0a672d74d3499c,SODA-A,53,208946194a004a747dfd8049e2d529719359f701100979fd0b822389ca7a607a,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/2a2f2a0ccc503bfa6623.jpg
m4-071-final-v1,A,62ac9b18a583e89363cd,6df46b3c38ae2c19,FAIR1M-v1.0,54,0fa69cec27c42a00ac2f282e4900a4ea9e5b039c0bb3c63273d6de3bdfda1006,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/62ac9b18a583e89363cd.jpg
m4-071-final-v1,A,c560c4658775a27a341a,d305a7cadaa8dcb4,SODA-A,55,1973f90ba57b8932ff09e58f39b3e3952384b472e609af8ee42ca1b57f3ff299,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/c560c4658775a27a341a.jpg
m4-071-final-v1,A,980f55b2d6a0fdedd9b3,cf0f7b50559d0136,DIOR-R,56,6ed08341f662631cbbd0aec2bc2277a73ea91a22f3fe13860f4314c26852dc0f,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/980f55b2d6a0fdedd9b3.jpg
m4-071-final-v1,A,5ea53cad3e57d015d328,971a2e5bec0b7071,FAIR1M-v1.0,57,396a60694b78c6d9fbc8d5cde7bb16bedb3d756e428094a2301ef0bbde68c907,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/5ea53cad3e57d015d328.jpg
m4-071-final-v1,A,827088f15c243f240e7d,bf3f8d9e4b2ea467,DIOR-R,58,57aaf2fd575f25ab9017501e7a64077e25bf19de8007b9736f5e0e3e16560386,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/827088f15c243f240e7d.jpg
m4-071-final-v1,A,2543bdaa1fd2de8f18d6,62d1cbc614d2e106,SODA-A,59,ad20810e63bb5f5535433b11637f681619fb1a4b008c95745b946c3055757a55,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/2543bdaa1fd2de8f18d6.jpg
m4-071-final-v1,A,aee12657187fad783016,1f999519f4561370,DIOR-R,60,3ee12b7f34b9cba3662a32b9f2e540b0ce9f9fb9843203700376ba796b856f89,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/aee12657187fad783016.jpg
m4-071-final-v1,A,0f230b5696e318a4f4a0,c0a8d349923c2e56,DIOR-R,61,93fb01bcd4c43f4f331124c38da17e94e0035e4b17a525ee79590dc144162e0b,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/0f230b5696e318a4f4a0.jpg
m4-071-final-v1,A,26c783559c513c430d1c,a5ecfdfe9038ed42,FAIR1M-v1.0,62,35abc1eab81fe53a8e8000109c31cd0ddfa0b7971f292ef5f5a008d31c72ee39,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/26c783559c513c430d1c.jpg
m4-071-final-v1,A,06808c90de9472b23357,5086b693a70886d6,FAIR1M-v1.0,63,84f749c41e49af85f2a4c068f409b4627800024b5e98a2a8d9a30cad041b5681,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/06808c90de9472b23357.jpg
m4-071-final-v1,A,abefdcf432b60b767e3f,0b76cc1135343efa,FAIR1M-v1.0,64,999a8021b9bffdda7d8d32fa2aba9e59d5ee5f6eab64d5dd7757291cf69cfe71,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/abefdcf432b60b767e3f.jpg
m4-071-final-v1,A,c017c2b71daa22b56972,be14fcdcff9d8ce1,DIOR-R,65,2cb685d36aba51da42f67058ec7c5771c175300602eba5c615718e30fca52b60,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/c017c2b71daa22b56972.jpg
m4-071-final-v1,A,8922adfddf42b9131f1e,197947d59206eef1,FAIR1M-v1.0,66,89dd84904b13dfe177c4f53da7262a7cfb0540a9d7f6090d37dca4d82e70509d,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/8922adfddf42b9131f1e.jpg
m4-071-final-v1,A,31ab4054b1db473cb9be,e27dfec3519adc65,SODA-A,67,4cc50c1251dbfadc52f5d078777d99bd7055a8f4ffe71a9a8c39c1d98f0ff3a8,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/31ab4054b1db473cb9be.jpg
m4-071-final-v1,A,c78ba32d80d05cde40ac,a72f99a017cff5a5,SODA-A,68,f5a908996e87a9ff74a5ba0758ac70cc3173e7ead37e5362a02f0215f599823e,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/c78ba32d80d05cde40ac.jpg
m4-071-final-v1,A,1ce7253ffe28011a14e3,367f2f05f5299fbe,SODA-A,69,e63463d0e5bc02316b8e1f6881327abaf95f1f4b1d57f857ccc9b4248a9c2ee9,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/1ce7253ffe28011a14e3.jpg
m4-071-final-v1,A,4abd5aa9d5e2d7c2ee74,e2039700213f385f,DIOR-R,70,55cad66baa2945dbbd7aee68ca9f1516dcd604939b2a6114de92281b66eaebd3,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/4abd5aa9d5e2d7c2ee74.jpg
m4-071-final-v1,A,ec7852f6dd381c98e02f,5c2353432821dcc7,DIOR-R,71,9c9858875530ffeeae590554ff9ae47c361a727ac7985e99849bd649b73d2147,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/ec7852f6dd381c98e02f.jpg
m4-071-final-v1,A,00d0ab1dc283c0deaf2f,63934fdf7f78307c,SODA-A,72,3306510cabdc085c06db7a51e806e0fcb94ea4879d81194f72ad263dc54dd02b,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/00d0ab1dc283c0deaf2f.jpg
m4-071-final-v1,A,6244584d7f357a8d2527,24b80c44a1ca9878,FAIR1M-v1.0,73,5520b388a1286a4297a2464d07fb0357721aad0877286fa0fa53ecfc258a5d03,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/6244584d7f357a8d2527.jpg
m4-071-final-v1,A,785c5e076ddf845a7720,46e088c777bd09e6,DIOR-R,74,7833139db27f098b3581bd450b7c7bf0078b39127feb85c482bf834146aaf59d,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/785c5e076ddf845a7720.jpg
m4-071-final-v1,A,c1476467d6c9446c1259,703b1287f887bb6f,DIOR-R,75,7de95892cc045dc86b4e770cbe23d2ae54773fcb292f2584e07825df79c9cb0f,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/c1476467d6c9446c1259.jpg
m4-071-final-v1,A,77f5e9731fd6460c4f72,197c5c28d083a2fc,SODA-A,76,1c851acb4fc59e55b34c4304231b0d33bd5aa0c9612593ec54ed571fa9698b7c,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/77f5e9731fd6460c4f72.jpg
m4-071-final-v1,A,c5a46a59e9f7c9f5f023,4aa211346a0b64c5,FAIR1M-v1.0,77,2c351e5a4e5ed0de8f2370e7e6fb25f7e49f2f3da7618ceb8ddaa32f0b5a3490,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/c5a46a59e9f7c9f5f023.jpg
m4-071-final-v1,A,dc9e169490ff725c126f,d58fdb7847bbbca7,FAIR1M-v1.0,78,20d86bfffc75b41626dd083912c02562a181b4489bf900fcc2cbfffa07c2f8ca,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/dc9e169490ff725c126f.jpg
m4-071-final-v1,A,d09efdb8254e97a2c6a3,0bd16e07b145d62d,DIOR-R,79,d4bf23fdc93dab65ec138ed769894c2ad606e42b4fe19d94695fc8101108f412,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/d09efdb8254e97a2c6a3.jpg
m4-071-final-v1,A,787fd4d6347ad1869a9a,f7357de27dfb5e91,DIOR-R,80,e4ef45b709ef81ef959614bf6034004a6b81cf394c30baf86ec3e1a41f2a99f8,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/787fd4d6347ad1869a9a.jpg
m4-071-final-v1,A,e4ae8e31c49166cf0ebe,663f4b88e826e316,FAIR1M-v1.0,81,15f374875b71359573df00b9d339ff4d1f6bf156a1dd1f93dd9b8f06f41b32e8,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/e4ae8e31c49166cf0ebe.jpg
m4-071-final-v1,A,64c234e3a73dc4d1d090,2280dd7145448f5d,SODA-A,82,89742680441bf63ef06a2a177f8b43b3324eda3676b49cc2f8ed34b05ec8179e,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/64c234e3a73dc4d1d090.jpg
m4-071-final-v1,A,3e3ea413d2af1cb8676e,6363911f1fe3003e,SODA-A,83,fed84715adba8b365cd2db5ce4d0b29ee30a814f5e390e13dd1789be7da69418,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/3e3ea413d2af1cb8676e.jpg
m4-071-final-v1,A,f290f561dc097a2c91c9,a1b9387304eccace,FAIR1M-v1.0,84,845e037a7ed50dda7188fd79483ac428a9bf5925db751a8bc779d0b7996f1e86,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/f290f561dc097a2c91c9.jpg
m4-071-final-v1,A,d16b697f28204632bd5a,34a8ecd1e01b938f,DIOR-R,85,108117b82301af910409c0efedc94ae4cfd7029112bf680927a41c7b9357a343,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/d16b697f28204632bd5a.jpg
m4-071-final-v1,A,f36ad5a8acd7d9fed316,3e024a0c59456289,SODA-A,86,63147498ddb0143f2aea603e3672c7202fbf44bae7609c4b0fe5dcf479e64906,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/f36ad5a8acd7d9fed316.jpg
m4-071-final-v1,A,8d13fc8ff58098c7ede7,7fccbe2f74a4bada,FAIR1M-v1.0,87,b7fb534ce45166a1f9a6a1bd7ee8d3c251f5c1b01ad144dac20125575fc1b1cd,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/8d13fc8ff58098c7ede7.jpg
m4-071-final-v1,A,bc8be805a04f845d14e9,fbe650b1bdf5daa4,DIOR-R,88,ecce360aab5979a05c4ada67f7182ca378f12187a295dbd65a497173fb199517,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/bc8be805a04f845d14e9.jpg
m4-071-final-v1,A,3127b4e5b40fa420fbb2,05082014fe972812,FAIR1M-v1.0,89,a3b7829a3df9a9eb783bdaf91605bf64f8efc39134c78f4a01d350daae45e047,/home/rspip/cqc/pro/study/orientbench/annotation_tools/m4_angle_annotation/annotator_A/crops/3127b4e5b40fa420fbb2.jpg
