source_kind,is_proxy,dataset,group_type,group_value,subset_definition,n_pairs,mean_circ_disagree_deg,median_circ_disagree_deg,p90_circ_disagree_deg,p95_circ_disagree_deg,P_gt5,P_gt10,status
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Bus,matched_gt_class=Bus,1,1.4522,1.4522,1.4522,1.4522,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Dry Cargo Ship,matched_gt_class=Dry Cargo Ship,2,1.1001,1.1001,1.1341,1.1383,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Dump Truck,matched_gt_class=Dump Truck,3,0.565,0.2516,1.1934,1.3111,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Engineering Ship,matched_gt_class=Engineering Ship,1,4.0911,4.0911,4.0911,4.0911,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Liquid Cargo Ship,matched_gt_class=Liquid Cargo Ship,1,0.1896,0.1896,0.1896,0.1896,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Motorboat,matched_gt_class=Motorboat,1,0.04,0.04,0.04,0.04,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Small Car,matched_gt_class=Small Car,17,2.6547,1.7341,6.1486,7.1372,0.176471,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Tennis Court,matched_gt_class=Tennis Court,2,1.5453,1.5453,1.6238,1.6337,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Van,matched_gt_class=Van,22,2.6348,2.486,5.3054,5.3963,0.136364,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,other-airplane,matched_gt_class=other-airplane,2,1.189,1.189,1.3469,1.3667,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,other-ship,matched_gt_class=other-ship,2,0.776,0.776,1.1308,1.1751,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,size,large,matched_gt_size_bin=large,4,1.7834,1.56,2.5302,2.7006,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,size,medium,matched_gt_size_bin=medium,11,1.2991,1.0576,2.3767,3.2339,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,size,small,matched_gt_size_bin=small,45,2.4245,1.9887,5.3782,6.1163,0.133333,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,ar_bin,1.6<=ar<2.1,matched_gt_ar_bin=1.6<=ar<2.1,20,2.7541,2.2033,5.5604,7.0447,0.15,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,ar_bin,ar<1.6,matched_gt_ar_bin=ar<1.6,9,1.8605,1.7347,3.0613,3.4416,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,ar_bin,ar>=2.1,matched_gt_ar_bin=ar>=2.1,31,1.8936,1.3864,4.929,5.4595,0.096774,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,dataset,all,all independently double-labeled usable instances,51,2.2563,2.0094,4.4207,5.9552,0.078431,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,ar_main,ar>=2.1,matched_GT_aspect_ratio>=2.1,41,2.2504,2.1611,4.4207,5.5936,0.073171,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,class,airplane,matched_gt_class=airplane,2,1.2454,1.2454,1.8672,1.9449,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,class,container,matched_gt_class=container,9,1.8394,2.2952,2.8442,3.0374,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,class,large-vehicle,matched_gt_class=large-vehicle,1,0.4909,0.4909,0.4909,0.4909,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,class,ship,matched_gt_class=ship,5,2.4675,2.3385,3.7661,4.0934,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,class,small-vehicle,matched_gt_class=small-vehicle,32,2.5496,2.0728,5.5325,6.8179,0.125,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,class,swimming-pool,matched_gt_class=swimming-pool,2,0.8061,0.8061,0.9219,0.9364,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,size,medium,matched_gt_size_bin=medium,1,0.6614,0.6614,0.6614,0.6614,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,size,small,matched_gt_size_bin=small,50,2.2882,2.016,4.4769,5.9913,0.08,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,ar_bin,1.6<=ar<2.1,matched_gt_ar_bin=1.6<=ar<2.1,8,2.5395,1.6337,5.2359,7.1333,0.125,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,ar_bin,ar<1.6,matched_gt_ar_bin=ar<1.6,2,1.2454,1.2454,1.8672,1.9449,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,ar_bin,ar>=2.1,matched_gt_ar_bin=ar>=2.1,41,2.2504,2.1611,4.4207,5.5936,0.073171,0.0,COMPLETE
