artifact,role,bytes,sha256,status,persistent,can_recompute,depends_on_dev_shm
outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__CSL__FAIR1M__seed0.json,full-val evaluation,2418,146ff910af86f1c94d7cb03ee7e2b84318b997fa053f0c1a90ee2db5741574ed,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__CSL__FAIR1M__seed0_matched.npz,compressed matched native endpoint,388355,a7eebb7d1fa29009ea7792e436234a014b8300d79f2ed5986534e4f3f7a3f420,COMPLETE,True,True,False
logs/m4_third_dataset/final/M4_070_final__CSL__FAIR1M__seed0.log,training and evaluation log,341790,0278d48e3472ede8deaea7bebdcc66ba5d8c656973a75612b0ec3bce54d6f4c8,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/checkpoints/M4_070_final__CSL__FAIR1M__seed1.pth,weights-only final checkpoint,152476178,088ef67e666cee806448f85eeb1c9fd423bd43a3f1e6e912044ae3137c40ff55,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__CSL__FAIR1M__seed1.json,full-val evaluation,2425,fe98ffb80cb6045e9e8353c9fbe66174c5e2ea5749bf9e2fa5a5683d43ea065c,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__CSL__FAIR1M__seed1_matched.npz,compressed matched native endpoint,551375,43999b6659a16feb34b58d698b39ba417ebbd73a8e1a5096f384d03c6dfd2683,COMPLETE,True,True,False
logs/m4_third_dataset/final/M4_070_final__CSL__FAIR1M__seed1.log,training and evaluation log,341505,b3920a295f1629453fc081d512e82d1b24a006aa06219d39064165e6686eac8b,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/checkpoints/M4_070_final__CSL__FAIR1M__seed2.pth,weights-only final checkpoint,152476178,a984d18eb13c074951ae5ac73b92302aede1a0fe5dc787f5292f7357ddd1a2d1,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__CSL__FAIR1M__seed2.json,full-val evaluation,2427,35187894a964c14eaec63971b92196ce239ad10342c331736a344188b42423ad,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__CSL__FAIR1M__seed2_matched.npz,compressed matched native endpoint,604057,649cc7235236b2bbadc5c04d4213acda285a6341f8f89c8cdd40699eb33a5c1b,COMPLETE,True,True,False
logs/m4_third_dataset/final/M4_070_final__CSL__FAIR1M__seed2.log,training and evaluation log,341793,b71268fa043f50dc3761fd8e5cbb79dd64fc3eb79ec7dadc3bfc504cb7c42474,COMPLETE,True,True,False
configs/m4_third_dataset_070/fair1m_dcl.py,frozen config,436,156deb0bbe65332475e6207d4c1f6abc45d29ada409e0895d5149e2ec6ad1fb5,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/checkpoints/M4_070_final__DCL__FAIR1M__seed0.pth,weights-only final checkpoint,149405906,fdfbcaadd3769b137e0249fa228b5a7686070f07b65b24308d13f35c8aa8348d,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__DCL__FAIR1M__seed0.json,full-val evaluation,2423,dcc9b55bfb43853d2148a4744e3a0e1b399feb873b3ba79697a7dab79d1f0f26,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__DCL__FAIR1M__seed0_matched.npz,compressed matched native endpoint,1109474,760d152c136d651486d184c6dcb811839e29f37d2bd748648161d960148484c3,COMPLETE,True,True,False
logs/m4_third_dataset/final/M4_070_final__DCL__FAIR1M__seed0.log,training and evaluation log,341898,f97b1b7aff59a540da369870266ccefad5c67a25be61ab7d7419066fae86cfbd,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/checkpoints/M4_070_final__DCL__FAIR1M__seed1.pth,weights-only final checkpoint,149405906,acfe76992f7f19ff9cb439be8fc56191d1a1147cc4b7e1ea58e2df495b7a31c4,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__DCL__FAIR1M__seed1.json,full-val evaluation,2425,1fbb4baf390243fd61288f89ba87289ad74c4a0230a1e0a4df72e20f38bc2c3d,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__DCL__FAIR1M__seed1_matched.npz,compressed matched native endpoint,1106587,29a102ed7e5a75c0d7d7409be45520dc65dfbab059f15ec187014fa714e55f67,COMPLETE,True,True,False
logs/m4_third_dataset/final/M4_070_final__DCL__FAIR1M__seed1.log,training and evaluation log,341603,ff677b5bf57189e53a1df19d83c7241482c0ee047cfbee80de3484ec8a55937e,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/checkpoints/M4_070_final__DCL__FAIR1M__seed2.pth,weights-only final checkpoint,149405906,655503dd7f7787511f185477d5b067c9c05fbd8e534658858f498c3d7838a24b,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__DCL__FAIR1M__seed2.json,full-val evaluation,2419,ab87a3f76eb914500acd3f354d5b835c1c0d3285e32e17ddb538c3c9cf035b2f,COMPLETE,True,True,False
outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__DCL__FAIR1M__seed2_matched.npz,compressed matched native endpoint,1112028,c421ea2ae716177edae4e01f1996af2972f8e83de4318ba53ec08c27692c86a3,COMPLETE,True,True,False
logs/m4_third_dataset/final/M4_070_final__DCL__FAIR1M__seed2.log,training and evaluation log,341904,b6fbe030a5ad1bde46d88be57c794431790cdff7f1b3a2b1f95fa88651d7795c,COMPLETE,True,True,False
