head,dataset,seed,scope,group,n,NRC_native,direction,main_mask,evidence
DCL,FAIR1M-v1.0,1,class,7,210,0.475924464799283,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,1,class,8,254,0.4952141549925129,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,1,class,9,10944,0.5690173452551779,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,1,class,10,248,0.7646024788188429,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,1,class,11,9586,0.5727285151407993,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,1,class,14,2048,0.5325959802290141,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,2,overall,ar>=2.1,27044,0.5491750619021006,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,2,size,small,24844,0.560317806380097,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,2,size,medium,1815,0.5884543729327876,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,2,size,large,385,0.6239095143263275,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,2,ar_bin,2.1<=ar<3,18923,0.5845909693934648,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,2,ar_bin,3<=ar<5,6714,0.5275822330723683,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,2,ar_bin,ar>=5,1407,0.6169777476857944,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,2,class,1,425,0.6765337764653921,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,2,class,2,1480,0.5930318617623568,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,2,class,3,907,0.6080118930475304,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,2,class,4,553,0.6799224088336758,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,2,class,6,170,0.6230577545150883,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,2,class,7,183,0.6485851433324344,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,2,class,8,276,0.5647426583321385,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,2,class,9,10830,0.5443310030422405,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,2,class,10,251,0.7941992407834775,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,2,class,11,9535,0.5762998779192859,informative,matched_GT_ar>=2.1,
DCL,FAIR1M-v1.0,2,class,14,2112,0.5325570817202023,informative,matched_GT_ar>=2.1,
ALL,FAIR1M-v1.0,ALL,decision,REPLICATES_A,200318,,,matched_GT_ar>=2.1,PSC_all_CIlo_gt1=True; CSL_stable_reverse=False; DCL_all_NRC_lt1=True; PSC_reversed_size_groups=3; PSC_reversed_ar_groups=2
