cell,dataset,detector,mask_definition,aspect_ratio_source,ar_threshold,retained_count,retained_ratio,angle_convention,geometry_model,solve_tolerance_deg,delta_theta_curve_sha256,threshold_semantics,high_ar_policy,input_lineage_status,angle_threshold_deg,event_rate,interp,noise_sensitive,threshold_near_proxy_floor,proxy_role,note,human_anchor_scope,human_disagreement_probability
D,FAIR1M-v1.0,rotated_retinanet_psc,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,31801,0.5806,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,10,0.0098,severe-risk sensitivity with clearer human-noise margin,True,False,corner-jitter proxy sensitivity only; strictly separate from human disagreement,human disagreement above 10deg is rare; do not subtract a noise correction,600 primary targets; 200 per dataset,0.0
D,FAIR1M-v1.0,rotated_retinanet_psc,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,31801,0.5806,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,15,0.0015,fixed-angle sensitivity,True,False,corner-jitter proxy sensitivity only; strictly separate from human disagreement,dataset-level label-noise-sensitive interpretation,600 primary targets; 200 per dataset,
E,SODA-A,rotated_retinanet_psc,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,197529,0.6388,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,5,0.0854,fine-risk; human-noise-sensitive,True,True,corner-jitter proxy sensitivity only; strictly separate from human disagreement,human disagreement above 5deg is nonzero; SODA-A requires extra caution,600 primary targets; 200 per dataset,0.113208
E,SODA-A,rotated_retinanet_psc,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,197529,0.6388,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,10,0.0101,severe-risk sensitivity with clearer human-noise margin,True,False,corner-jitter proxy sensitivity only; strictly separate from human disagreement,human disagreement above 10deg is rare; do not subtract a noise correction,600 primary targets; 200 per dataset,0.025157
E,SODA-A,rotated_retinanet_psc,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,197529,0.6388,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,15,0.0019,fixed-angle sensitivity,True,False,corner-jitter proxy sensitivity only; strictly separate from human disagreement,dataset-level label-noise-sensitive interpretation,600 primary targets; 200 per dataset,
F,SODA-A,oriented_rcnn,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,235428,0.6249,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,5,0.1079,fine-risk; human-noise-sensitive,True,True,corner-jitter proxy sensitivity only; strictly separate from human disagreement,human disagreement above 5deg is nonzero; SODA-A requires extra caution,600 primary targets; 200 per dataset,0.113208
F,SODA-A,oriented_rcnn,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,235428,0.6249,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,10,0.0142,severe-risk sensitivity with clearer human-noise margin,True,False,corner-jitter proxy sensitivity only; strictly separate from human disagreement,human disagreement above 10deg is rare; do not subtract a noise correction,600 primary targets; 200 per dataset,0.025157
F,SODA-A,oriented_rcnn,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,235428,0.6249,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,15,0.0028,fixed-angle sensitivity,True,False,corner-jitter proxy sensitivity only; strictly separate from human disagreement,dataset-level label-noise-sensitive interpretation,600 primary targets; 200 per dataset,
G_dota_orcnn,DOTA-v1.0,oriented_rcnn,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,33029,0.6756,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,5,0.0555,fine-risk,False,False,corner-jitter proxy sensitivity only; strictly separate from human disagreement,,not sampled,
G_dota_orcnn,DOTA-v1.0,oriented_rcnn,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,33029,0.6756,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,10,0.0034,interpretive sensitivity,False,False,corner-jitter proxy sensitivity only; strictly separate from human disagreement,,not sampled,
G_dota_orcnn,DOTA-v1.0,oriented_rcnn,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,33029,0.6756,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,15,0.0005,fixed-angle sensitivity,False,False,corner-jitter proxy sensitivity only; strictly separate from human disagreement,,not sampled,
H_dota_rtmdet,DOTA-v1.0,rotated_rtmdet_m,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,34383,0.6646,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,5,0.0503,fine-risk,False,False,corner-jitter proxy sensitivity only; strictly separate from human disagreement,,not sampled,
H_dota_rtmdet,DOTA-v1.0,rotated_rtmdet_m,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,34383,0.6646,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,10,0.0035,interpretive sensitivity,False,False,corner-jitter proxy sensitivity only; strictly separate from human disagreement,,not sampled,
H_dota_rtmdet,DOTA-v1.0,rotated_rtmdet_m,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,34383,0.6646,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,15,0.001,fixed-angle sensitivity,False,False,corner-jitter proxy sensitivity only; strictly separate from human disagreement,,not sampled,
