"id","origin","artifact_type","path","status","mtime_pdt","size_bytes","sha256","can_recompute","recompute_entry","supersedes","notes"
"A013","066/K4b","result_table","top_journal_v3_reaudit_055/reports/k4b_dota_full_val_metrics.csv","authoritative","2026-07-08 03:45:11","630","30e56f900fbebd126b5b19b961a2a78de1fa2c931771525c1755d728007ced4b","yes_gpu","scripts/k4b_dota_fullval_066.py","DOTA#20","Two clean full-val cells."
"A014","066/K4b","exclusion_table","top_journal_v3_reaudit_055/reports/k4b_dota_cell_inclusion_exclusion_066.csv","authoritative","2026-07-08 03:45:11","333","0f422f77ab875172e07b6704ba3760b16390e147d45e2311dde5d4df7c30e7ab","yes_cpu","scripts/k4b_dota_fullval_066.py","","DOTA#20 explicitly excluded."
"A015","pre-068 conformal","result_table","top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1c_ltt_conformal_tables_v1.csv","legacy_authoritative_for_068","2026-07-08 03:47:34","1458","a9930b3f0895e02e5271f8de28b1a4f303b7e812add4a578b9616c0ff6c6d7e4","yes_cpu","top_journal_v3_reaudit_055/scripts/s1c_ltt_conformal_v1.py","older conformal tables","Instance-iid exact-binomial main guarantee."
"A016","052","provenance_table","top_journal_v3/reports/full_matched_tables_052.csv","persistent_with_debt","2026-07-02 06:41:19","6317","68f3823ec266894633bf8174e72236a8a33dea392e25a5ee7fa0d09e21c0278d","derived_only","","ephemeral matched copies","DIOR GT lineage is partial and original /dev/shm source is missing."
"A017","frozen","thresholds","configs/thresholds.yaml","frozen_verified","2026-06-27 06:04:08","4378","b7c4e649b1a3de6d0c985a5f20dc5ba70a8fb3e428c3c184e2f86bf96d593fae","no","verify_sha_only","draft and candidate thresholds","Do not modify."
"A018","frozen","split_summary","outputs/bench_core/splits/splits_summary.json","frozen_verified","2026-06-25 03:02:04","1582","249c7a6631a5265db13439618721f81857abc44995a465370740bc154239d87b","no","verify_only","","Ten D_cal/D_audit CSVs unchanged and mutually exclusive."
"A019","frozen","formal_scope","outputs/bench_core/reports/full_matrix_execution_plan.csv","frozen_verified","2026-06-27 07:14:33","6685","33bf3ddab6374fea807018b8e82ccfc1629a34e735cb2f020daf4fe7fa93ffef","no","verify_only","","DOTA formal-compatible; non-DOTA exploratory."
"A020","frozen","host_lock","outputs/training/rhino/SNAPSHOT_LOCK.json","locked_verified","2026-06-27 04:37:06","325","b38f2420e0125d64558e479aa8c414e6f66ba0b9595612b8066756d8413f65c7","no","verify_checkpoint_sha","invalid host runs","RHINO checkpoint SHA matches lock."
"A021","frozen","host_lock","outputs/training/a4_host/SNAPSHOT_LOCK.json","locked_verified","2026-06-27 04:37:07","331","f6790f8bba0a17d8286ece9324f82b2e0e30b298f660e62ddbbe6740d9725c85","no","verify_checkpoint_sha","invalid host runs","A4 checkpoint SHA matches lock."
"A022","current","reproduction_entry","scripts/reproduce_all_main_tables.sh","unvalidated_do_not_run","2026-07-12 20:39:15","9604","7fef8f7cc1ac8e27463d72d24f0e8ea4934454a823aea96b82bef54e63668bc7","partial","","pre-069 revision","Contains executable 069 additions and has no post-edit end-to-end run."
"A023","current","reproduction_doc","docs/third_party_reproduction_log.md","post_068_unvalidated","2026-07-12 20:39:43","2776","ad74ca34a23150661b32eba627fca8b6059f342c8d595fecca2f1180b6517a53","no","","older reproduction log","Describes disputed 069 artifacts."
"A024","pre-069","reproduction_log","top_journal_v3_reaudit_055/logs/reproduce_all_main_tables_066.log","fast_pass_pre_edit","2026-07-08 03:48:10","4710","974eee0338ddf491b95095bb9548ec5dcca725f8b5d1c8ba8c921f28429cb300","no","","","Latest real fast run; predates current script."
"A025","069-REPLACEMENT","master_log","top_journal_v3_reaudit_055/logs/m069/master.log","preexisting_completed_unratified","2026-07-12 21:21:28","2222","fa187eaa9dae1080ac162a4d33b8e22978f929bbf7eec16468dbaf47ace67211","no","","","Records 20:42:34 start and 21:21:28 end."
"A026","069-REPLACEMENT","master_status","top_journal_v3_reaudit_055/reports/m069_master_status.json","preexisting_complete_unratified","2026-07-12 21:21:28","1107","5966ea6af6011324754f47391dc0a9be84ee1cea2eedae0f7af4b8d84338038c","no","","","ALL state complete; conflicts with takeover premise."
"A027","069-REPLACEMENT","M1_results","top_journal_v3_reaudit_055/reports/m1_all_main_results_ar21.csv","unratified_pass","2026-07-12 21:05:11","10188","ac003311ebc5afe313ee9fb5b4b0d37f23f6aeb0d667fc577ceb559a64774928","yes_cpu","scripts/m1_ar21_unify.py","mixed-mask 068 tables","Do not adopt until supervisor disposition."
"A028","069-REPLACEMENT","M2_decision","top_journal_v3_reaudit_055/reports/m2_g2doubleprime_decision.csv","unratified_fail","2026-07-12 21:07:14","219","dd965703951f8d2f76245b12bdc5998de9797380d6e6a13be1df6b10aee48608","yes_cpu","scripts/m2_g2doubleprime_ar21.py","068 geometry gain table","Only cell B supports at least two significant bins."
"A029","069-REPLACEMENT","M3_results","top_journal_v3_reaudit_055/reports/m3_image_level_ltt.csv","unratified_pass","2026-07-12 21:14:39","12239","431730c4eb555309de2c9b1cfd08a6e3011ef5099b1f9f620cb8fe415c0367e5","yes_cpu","scripts/m3_image_level_risk.py","instance-iid conformal","Requires independent review."
"A030","069-REPLACEMENT","M4_results","top_journal_v3_reaudit_055/reports/m4_geometry_normalized_risk.csv","unratified","2026-07-12 21:14:43","2262","c08c070153bb3e0d5520ced2a39642e68a3d0bdc2fd42c039a941a4e855eeed2","yes_cpu","scripts/m4_risk_events.py","fixed-angle main risk","Requires supervisor disposition."
"A031","069-REPLACEMENT","PSC_decision","top_journal_v3_reaudit_055/reports/psc_phase1_split_gate_decision.csv","unratified_pass","2026-07-12 21:21:27","250","2fa4be035af056c95c4b259dbbeffe7c524f3d9c65990f481f7f5ae88c3d86a2","yes_cpu","scripts/psc_phase1.py","K2-only mechanism framing","Branch A; do not treat as takeover result."
"A032","069-REPLACEMENT","human_result","top_journal_v3_reaudit_055/reports/m4_human_annotation_disagreement.csv","pending_human_labels","2026-07-12 21:21:28","187","439ee3ff960cdd5d4496e0b15391ecd9d281dbd4e20836c50ba4e41117b46209","no","human labels required","proxy-only boundary","All three datasets have n_pairs=0."
"A033","069-REPLACEMENT","freeze_gate","top_journal_v3_reaudit_055/reports/068_submission_freeze_gate.csv","not_frozen_unratified","2026-07-12 21:21:28","738","cababe675599c979160055d6f90b631a726ae55f92ea69ab2fe00229830a7f3e","no","","","Filename says 068 but origin is later 069-REPLACEMENT; blocker is human labels."
"A034","069-REPLACEMENT","reproduction_fragment","outputs/logs/reproduce_all_main_tables_068.log","not_one_click_log","2026-07-12 21:21:28","562","6c239660c2dccbc6e26788405199fae0d14deba0d4dc3e0b5ac24336628fbc54","no","","","Contains consistency lines only."
"A035","pre-068","older_manuscript","top_journal_v3_reaudit_055/docs/paper_zh_s1s5_v3_review/orientation_reliability_paper_zh_s1s5_v3_review.md","superseded_by_068","2026-07-08 03:02:13","34828","db364ecd330d6c3eeaf5c7a0ffb6d6da4d82e98dcb764049bbbb48b705123d28","no","","","Do not use as current manuscript."
"A036","frozen","D_cal_split","outputs/bench_core/splits/D_cal_dior_trainval.csv","frozen_verified","2026-06-25","3672","f624a21451de394a35041af35c9a910c3a1bdc11fb5c942d15416e04e0e6f632","no","verify_only","","100 images."
"A037","frozen","D_audit_split","outputs/bench_core/splits/D_audit_dior_trainval.csv","frozen_verified","2026-06-25","3899","11c61be3a03c922b5e00e4cf9e866cf73e18eff44bd6b868b53f54612065669b","no","verify_only","","100 images."
"A038","frozen","D_cal_split","outputs/bench_core/splits/D_cal_dota10_train.csv","frozen_verified","2026-06-25","4498","48a0319a1ea51fcbadf43e7e632d5a77f77d3db73442acfd639acb0c455daed4","no","verify_only","","83 images."
"A039","frozen","D_audit_split","outputs/bench_core/splits/D_audit_dota10_train.csv","frozen_verified","2026-06-25","4408","d4fb9a793a4c2f31ddd42cde0ba8c571114e78b2ab0d3af36002f201fafc1eb7","no","verify_only","","78 images."
"A040","frozen","D_cal_split","outputs/bench_core/splits/D_cal_dota15_train.csv","frozen_verified","2026-06-25","4835","aa59e4266872c2f3f48b6c027798255e21fae64b09519a895d3ba8deb85b9364","no","verify_only","","89 images."
"A041","frozen","D_audit_split","outputs/bench_core/splits/D_audit_dota15_train.csv","frozen_verified","2026-06-25","4651","ac97d1f3f2a780f79019612fce6f7f93d13aa9f7a65c4f1c14aa96447e743856","no","verify_only","","82 images."
"A042","frozen","D_cal_split","outputs/bench_core/splits/D_cal_fair1m_train.csv","frozen_verified","2026-06-25","4289","84b32cb5e0bd9a7afdc772f824e1b64f9daaca54fccdbbb98750180bc04b16a0","no","verify_only","","82 images."
"A043","frozen","D_audit_split","outputs/bench_core/splits/D_audit_fair1m_train.csv","frozen_verified","2026-06-25","5052","140ef6855909cdca2904656ad76baca31ff11d8c571e3978e005d945440c335e","no","verify_only","","92 images."
"A044","frozen","D_cal_split","outputs/bench_core/splits/D_cal_hrsc_trainval.csv","frozen_verified","2026-06-25","4357","bbaf79002ad683893292101744e32e379d711f14ab7c187ae5bad42d2e37bdb0","no","verify_only","","102 images."
"A045","frozen","D_audit_split","outputs/bench_core/splits/D_audit_hrsc_trainval.csv","frozen_verified","2026-06-25","4401","55734ae8aa3f49350186fd066a761a54fe1a99921897012c5e59ca1fdf9f6679","no","verify_only","","98 images."
