annotator_slot,task_id,canonical_anon_id,task_kind,original_task_id,original_pair_status,original_missing_state,recheck_state,recheck_angle,counterpart_angle,resolved_to_numeric_pair,resolved_disagreement_deg
B,8aadf4bd120d782dfc8a,f089723f8160d109,ONE_SIDED_RECHECK,781222248b91f3044ea7,LABELED|AMBIGUOUS,AMBIGUOUS,LABELED,113.670549,117.387396,True,3.716847
B,e7b150640db62ac12b71,ea5cf0f963a7aec8,ONE_SIDED_RECHECK,857be25e92e4e8e33467,LABELED|AMBIGUOUS,AMBIGUOUS,LABELED,19.057717,8.343891,True,10.713826
B,d808a3bd94e035dc00ad,97167e1b99bae76b,ONE_SIDED_RECHECK,25e080a00ca7540dc727,LABELED|AMBIGUOUS,AMBIGUOUS,AMBIGUOUS,,98.820444,False,
B,4e42f0ce4e128cdc8105,1c634a0497c6fe3f,ONE_SIDED_RECHECK,ee98e0dda9979ab6d6e2,LABELED|AMBIGUOUS,AMBIGUOUS,LABELED,0.662349,0.358075,True,0.304274
B,7ffad95ee77b3c9ec340,04252c8f5d8f4fb8,ONE_SIDED_RECHECK,45afc0248e384e12412a,LABELED|AMBIGUOUS,AMBIGUOUS,LABELED,49.590479,46.444149,True,3.146330
B,8669c9dcfd0a854a9aa2,ec815eecd4e1239d,ONE_SIDED_RECHECK,85052467a35075b04539,LABELED|SKIP,SKIP,LABELED,7.765165,5.599323,True,2.165842
B,a6ad9a65479d0d6cb114,2763fc5bae473eda,ONE_SIDED_RECHECK,c2d6088fe171edf08f61,LABELED|AMBIGUOUS,AMBIGUOUS,LABELED,76.277684,74.347470,True,1.930214
B,b9130fc077c41cc1a0a2,197c5c28d083a2fc,ONE_SIDED_RECHECK,049788ffe4208fb3daab,LABELED|AMBIGUOUS,AMBIGUOUS,LABELED,0.795715,0.000000,True,0.795715
B,e2838031919cef794952,ed39c0bea4c8e8d8,ONE_SIDED_RECHECK,309993347a538a7bf365,LABELED|SKIP,SKIP,LABELED,112.067901,112.416146,True,0.348245
B,7afe038477e6a3242419,c42c861402c080cb,ONE_SIDED_RECHECK,5d525336af98527da2f4,LABELED|SKIP,SKIP,LABELED,37.184713,35.537661,True,1.647052
B,ad83871368b836a5a080,33adb03f58d0db3b,ONE_SIDED_RECHECK,2d9465f0b4b137706e03,LABELED|AMBIGUOUS,AMBIGUOUS,LABELED,52.052299,52.057834,True,0.005535
B,e2ba5ac0b02b0db7449e,67b62b86c2b79a95,ONE_SIDED_RECHECK,fd1b058d00883b845a1e,LABELED|AMBIGUOUS,AMBIGUOUS,LABELED,90.000000,86.729565,True,3.270435
B,95e535dfd174d8bdde60,26e8b75d028d066b,ONE_SIDED_RECHECK,91117b3dd9a073f0d8ec,LABELED|AMBIGUOUS,AMBIGUOUS,LABELED,179.664959,1.882277,True,2.217318
B,2f0bcd00096ee0bec01f,de5758edb422a308,ONE_SIDED_RECHECK,eb487b37b9bcb84ab271,LABELED|AMBIGUOUS,AMBIGUOUS,AMBIGUOUS,,87.305728,False,
B,1c73331c467f3f03890a,fc2ccb14e2f3e01e,ONE_SIDED_RECHECK,067320f17040968b5a7f,LABELED|AMBIGUOUS,AMBIGUOUS,LABELED,41.035342,37.056538,True,3.978804
B,99cfa597a48c446d3394,17e2992a05f375c3,ONE_SIDED_RECHECK,a8a9aabdfc0c015fb83d,LABELED|AMBIGUOUS,AMBIGUOUS,LABELED,0.962873,178.549768,True,2.413105
